dispatch_id,dispatch_number,co_id,customer_id,dispatch_date,source_location,transport_mode,vehicle_number,lr_number,driver_name,transport_company,delivery_address,city,state,expected_delivery_date,actual_delivery_date,dispatched_by,status,remarks
1,DSP202504040001,1,11,2025-04-04,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 08 BK 1791,LR25040400001,Manoj Yadav,TCI Freight,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-04-13,2025-04-13,13,Delivered,Delivered dispatch for SO202606300001 to Haridwar.
2,DSP202504070002,2,8,2025-04-07,Finished Goods Warehouse - Export Hold,Road,MH 15 CL 2582,LR25040700002,Arun Prakash,Delhivery Heavy Goods,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-04-10,2025-04-11,10,Delivered,Delivered dispatch for SO202606300002 to Bengaluru.
3,DSP202505140003,3,19,2025-05-14,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 22 DM 3373,LR25051400003,Naveen Singh,Blue Dart Cargo,"Tata Motors, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-05-19,2025-05-18,11,Delivered,Delivered dispatch for SO202606300003 to Pune.
4,DSP202504120004,4,6,2025-04-12,Finished Goods Warehouse - EV Motor Zone,Road,HR 29 EN 4164,LR25041200004,Ravi Kumar,Mahindra Logistics,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-04-14,2025-04-14,8,Delivered,Delivered dispatch for SO202606300004 to Ranipet.
5,DSP202504140005,5,2,2025-04-14,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00005,LR25041400005,,Gati KWE,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-04-16,2025-04-17,1,Delivered,Delivered dispatch for SO202606300005 to Krishnagiri.
6,DSP202504170006,6,2,2025-04-17,Finished Goods Warehouse - Export Hold,Customer Pickup,PICKUP-00006,CPU000006,Prakash Reddy,Customer Pickup,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-04-19,2025-04-18,12,Delivered,Delivered dispatch for SO202606300006 to Krishnagiri.
7,DSP202504240007,7,16,2025-04-24,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 50 HQ 6537,LR25042400007,Sanjay Patil,Safexpress,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-04-29,2025-04-29,13,Delivered,Delivered dispatch for SO202606300007 to Pune.
8,DSP202504300008,8,4,2025-04-30,Finished Goods Warehouse - EV Motor Zone,Road,TN 57 IR 7328,LR25043000008,Dinesh Sharma,Agarwal Packers Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-05-05,2025-05-06,10,Delivered,Delivered dispatch for SO202606300008 to Pune.
9,DSP202505200009,9,20,2025-05-20,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 64 JS 8119,LR25052000009,Kannan M,Om Logistics,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-05-22,2025-05-21,11,Delivered,Delivered dispatch for SO202606300009 to Chennai.
10,DSP202505080010,10,7,2025-05-08,Finished Goods Warehouse - Export Hold,Road,MH 71 KT 8910,LR25050800010,Suresh Kumar,VRL Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-05-11,2025-05-11,8,Delivered,Delivered dispatch for SO202606300010 to Bengaluru.
11,DSP202505100011,11,7,2025-05-10,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 78 LU 9701,LR25051000011,Manoj Yadav,TCI Freight,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-05-13,2025-05-14,1,Delivered,Delivered dispatch for SO202606300011 to Bengaluru.
12,DSP202505040012,12,7,2025-05-04,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00012,LR25050400012,,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-05-07,2025-05-06,12,Delivered,Delivered dispatch for SO202606300012 to Bengaluru.
13,DSP202505120013,13,21,2025-05-12,Finished Goods Warehouse - Premium Motor Aisle,Customer Pickup,PICKUP-00013,CPU000013,Naveen Singh,Customer Pickup,"EKA Mobility, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-05-17,2025-05-17,13,Delivered,Delivered dispatch for SO202606300013 to Pune.
14,DSP202505090014,14,7,2025-05-09,Finished Goods Warehouse - Export Hold,Road,TS 01 OX 3074,LR25050900014,Ravi Kumar,Mahindra Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-05-12,2025-05-13,10,Delivered,Delivered dispatch for SO202606300014 to Bengaluru.
15,DSP202505110015,15,2,2025-05-11,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 08 PY 3865,LR25051100015,Imran Khan,Gati KWE,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-05-13,2025-05-12,11,Delivered,Delivered dispatch for SO202606300015 to Krishnagiri.
16,DSP202505120016,16,5,2025-05-12,Finished Goods Warehouse - EV Motor Zone,Road,TN 15 QZ 4656,LR25051200016,Prakash Reddy,Rivigo Services,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-05-20,2025-05-20,8,Delivered,Delivered dispatch for SO202606300016 to Neemrana.
17,DSP202505140017,17,14,2025-05-14,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 22 RA 5447,LR25051400017,Sanjay Patil,Safexpress,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-05-22,2025-05-23,1,Delivered,Delivered dispatch for SO202606300017 to New Delhi.
