dispatch_item_id,dispatch_id,co_item_id,item_id,item_description,uom,ordered_quantity,dispatched_quantity,unit_price,line_amount,batch_no,serial_no,remarks
1,1,1,101,PMSM Motor 3 kW,No,26,2,43617.5,87235,FG-FG002-2504-0001,SN-FG002-00001-00002,Delivered 2 No of PMSM Motor 3 kW.
2,2,2,100,BLDC Motor 1.5 kW,No,54,3,22385,67155,FG-FG001-2504-0002,SN-FG001-00002-00004,Delivered 3 No of BLDC Motor 1.5 kW.
3,3,3,102,PMSM Motor 7.5 kW,No,15,4,100450,401800,FG-FG003-2505-0003,SN-FG003-00003-00006,Delivered 4 No of PMSM Motor 7.5 kW.
4,4,4,100,BLDC Motor 1.5 kW,No,40,5,22940,114700,FG-FG001-2504-0004,SN-FG001-00004-00008,Delivered 5 No of BLDC Motor 1.5 kW.
5,5,5,100,BLDC Motor 1.5 kW,No,61,6,23217.5,139305,FG-FG001-2504-0005,SN-FG001-00005-00010,Delivered 6 No of BLDC Motor 1.5 kW.
6,6,6,100,BLDC Motor 1.5 kW,No,80,1,23495,23495,FG-FG001-2504-0006,SN-FG001-00006,Delivered 1 No of BLDC Motor 1.5 kW.
7,7,7,101,PMSM Motor 3 kW,No,19,2,43070,86140,FG-FG002-2504-0007,SN-FG002-00007-00008,Delivered 2 No of PMSM Motor 3 kW.
8,8,8,100,BLDC Motor 1.5 kW,No,75,3,22107.5,66322.5,FG-FG001-2504-0008,SN-FG001-00008-00010,Delivered 3 No of BLDC Motor 1.5 kW.
9,9,9,102,PMSM Motor 7.5 kW,No,9,4,99220,396880,FG-FG003-2505-0009,SN-FG003-00009-00012,Delivered 4 No of PMSM Motor 7.5 kW.
10,10,10,100,BLDC Motor 1.5 kW,No,66,5,22662.5,113312.5,FG-FG001-2505-0010,SN-FG001-00010-00014,Delivered 5 No of BLDC Motor 1.5 kW.
11,11,11,100,BLDC Motor 1.5 kW,No,69,6,22940,137640,FG-FG001-2505-0011,SN-FG001-00011-00016,Delivered 6 No of BLDC Motor 1.5 kW.
12,12,12,100,BLDC Motor 1.5 kW,No,80,1,23217.5,23217.5,FG-FG001-2505-0012,SN-FG001-00012,Delivered 1 No of BLDC Motor 1.5 kW.
13,13,13,102,PMSM Motor 7.5 kW,No,16,2,104140,208280,FG-FG003-2505-0013,SN-FG003-00013-00014,Delivered 2 No of PMSM Motor 7.5 kW.
14,14,14,100,BLDC Motor 1.5 kW,No,59,3,21830,65490,FG-FG001-2505-0014,SN-FG001-00014-00016,Delivered 3 No of BLDC Motor 1.5 kW.
15,15,15,100,BLDC Motor 1.5 kW,No,42,4,22107.5,88430,FG-FG001-2505-0015,SN-FG001-00015-00018,Delivered 4 No of BLDC Motor 1.5 kW.
16,16,16,100,BLDC Motor 1.5 kW,No,71,5,22385,111925,FG-FG001-2505-0016,SN-FG001-00016-00020,Delivered 5 No of BLDC Motor 1.5 kW.
17,17,17,101,PMSM Motor 3 kW,No,24,6,44712.5,268275,FG-FG002-2505-0017,SN-FG002-00017-00022,Delivered 6 No of PMSM Motor 3 kW.
18,18,18,100,BLDC Motor 1.5 kW,No,29,1,22940,22940,FG-FG001-2505-0018,SN-FG001-00018,Delivered 1 No of BLDC Motor 1.5 kW.
19,19,19,100,BLDC Motor 1.5 kW,No,67,2,23217.5,46435,FG-FG001-2505-0019,SN-FG001-00019-00020,Delivered 2 No of BLDC Motor 1.5 kW.
20,20,20,100,BLDC Motor 1.5 kW,No,21,3,23495,70485,FG-FG001-2505-0020,SN-FG001-00020-00022,Delivered 3 No of BLDC Motor 1.5 kW.
