bom_consumption_id,production_order_item_id,finished_item_id,consumed_item_id,planned_quantity,issued_quantity,actual_consumed_quantity,returned_quantity,wastage_quantity,uom,warehouse_location,batch_number,consumption_date,consumed_by,transaction_status,remarks
2991,301,100,1,60.000,61.200,60.000,0.000,1.200,No,Production Issue Store,BC-0002991,2024-04-10,1,Consumed,Generated BOM consumption from active BOM.
2992,301,100,4,60.000,61.200,60.000,0.000,1.200,No,Production Issue Store,BC-0002992,2024-04-10,3,Consumed,Generated BOM consumption from active BOM.
2993,302,101,5,23.000,23.460,23.000,0.000,0.460,No,Production Issue Store,BC-0002993,2024-04-10,3,Consumed,Generated BOM consumption from active BOM.
2994,302,101,8,230.000,234.600,230.000,0.000,4.600,No,Production Issue Store,BC-0002994,2024-04-10,4,Consumed,Generated BOM consumption from active BOM.
2995,303,102,9,240.000,244.800,240.000,0.000,4.800,No,Production Issue Store,BC-0002995,2024-04-06,4,Consumed,Generated BOM consumption from active BOM.
2996,303,102,12,20.000,20.400,20.000,0.000,0.400,No,Production Issue Store,BC-0002996,2024-04-06,5,Consumed,Generated BOM consumption from active BOM.
2997,304,100,10,50.000,51.000,50.000,0.000,1.000,No,Production Issue Store,BC-0002997,2024-04-04,5,Consumed,Generated BOM consumption from active BOM.
2998,304,100,13,50.000,51.000,50.000,0.000,1.000,No,Production Issue Store,BC-0002998,2024-04-04,6,Consumed,Generated BOM consumption from active BOM.
2999,305,101,14,18.000,18.360,18.000,0.000,0.360,No,Production Issue Store,BC-0002999,2024-04-11,6,Consumed,Generated BOM consumption from active BOM.
3000,305,101,17,18.000,18.360,18.000,0.000,0.360,No,Production Issue Store,BC-0003000,2024-04-11,7,Consumed,Generated BOM consumption from active BOM.
3001,306,102,18,46.000,46.920,46.000,0.000,0.920,No,Production Issue Store,BC-0003001,2024-04-12,7,Consumed,Generated BOM consumption from active BOM.
3002,306,102,19,46.000,46.920,46.000,0.000,0.920,No,Production Issue Store,BC-0003002,2024-04-12,8,Consumed,Generated BOM consumption from active BOM.
3003,307,100,19,13.000,13.260,13.000,0.000,0.260,No,Production Issue Store,BC-0003003,2024-04-12,8,Consumed,Generated BOM consumption from active BOM.
3004,307,100,20,13.000,13.260,13.000,0.000,0.260,No,Production Issue Store,BC-0003004,2024-04-12,9,Consumed,Generated BOM consumption from active BOM.
3005,308,101,20,53.000,54.060,53.000,0.000,1.060,No,Production Issue Store,BC-0003005,2024-04-12,9,Consumed,Generated BOM consumption from active BOM.
3006,308,101,24,106.000,108.120,106.000,0.000,2.120,No,Production Issue Store,BC-0003006,2024-04-12,10,Consumed,Generated BOM consumption from active BOM.
3007,309,102,25,86.000,87.720,86.000,0.000,1.720,No,Production Issue Store,BC-0003007,2024-04-08,10,Consumed,Generated BOM consumption from active BOM.
3008,309,102,21,43.000,43.860,43.000,0.000,0.860,No,Production Issue Store,BC-0003008,2024-04-08,11,Consumed,Generated BOM consumption from active BOM.
3009,310,100,21,35.000,35.700,35.000,0.000,0.700,No,Production Issue Store,BC-0003009,2024-04-10,11,Consumed,Generated BOM consumption from active BOM.
3010,310,100,78,35.000,35.700,35.000,0.000,0.700,No,Production Issue Store,BC-0003010,2024-04-10,12,Consumed,Generated BOM consumption from active BOM.
3011,311,101,78,62.000,63.240,62.000,0.000,1.240,No,Production Issue Store,BC-0003011,2024-04-13,12,Consumed,Generated BOM consumption from active BOM.
3012,311,101,79,62.000,63.240,62.000,0.000,1.240,No,Production Issue Store,BC-0003012,2024-04-13,13,Consumed,Generated BOM consumption from active BOM.
3013,312,102,79,76.000,77.520,76.000,0.000,1.520,No,Production Issue Store,BC-0003013,2024-04-13,13,Consumed,Generated BOM consumption from active BOM.
3014,312,102,26,76.000,77.520,76.000,0.000,1.520,No,Production Issue Store,BC-0003014,2024-04-13,1,Consumed,Generated BOM consumption from active BOM.
3015,313,100,26,26.000,26.520,26.000,0.000,0.520,No,Production Issue Store,BC-0003015,2024-04-11,1,Consumed,Generated BOM consumption from active BOM.
3016,313,100,27,26.000,26.520,26.000,0.000,0.520,No,Production Issue Store,BC-0003016,2024-04-11,3,Consumed,Generated BOM consumption from active BOM.
3017,314,101,27,28.000,28.560,28.000,0.000,0.560,No,Production Issue Store,BC-0003017,2024-04-08,3,Consumed,Generated BOM consumption from active BOM.
3018,314,101,30,89.600,91.392,89.600,0.000,1.792,kg,Production Issue Store,BC-0003018,2024-04-08,4,Consumed,Generated BOM consumption from active BOM.
3019,315,102,31,104.000,106.080,104.000,0.000,2.080,kg,Production Issue Store,BC-0003019,2024-04-08,4,Consumed,Generated BOM consumption from active BOM.
3020,315,102,34,80.000,81.600,80.000,0.000,1.600,m,Production Issue Store,BC-0003020,2024-04-08,5,Consumed,Generated BOM consumption from active BOM.
3021,316,100,32,39.000,39.780,39.000,0.000,0.780,m,Production Issue Store,BC-0003021,2024-04-09,5,Consumed,Generated BOM consumption from active BOM.
3022,316,100,35,13.000,13.260,13.000,0.000,0.260,No,Production Issue Store,BC-0003022,2024-04-09,6,Consumed,Generated BOM consumption from active BOM.
3023,317,101,35,52.000,53.040,52.000,0.000,1.040,No,Production Issue Store,BC-0003023,2024-04-10,6,Consumed,Generated BOM consumption from active BOM.
3024,317,101,38,156.000,159.120,156.000,0.000,3.120,No,Production Issue Store,BC-0003024,2024-04-10,7,Consumed,Generated BOM consumption from active BOM.
3025,318,102,38,135.000,137.700,135.000,0.000,2.700,No,Production Issue Store,BC-0003025,2024-04-13,7,Consumed,Generated BOM consumption from active BOM.
3026,318,102,57,2160.000,2203.200,2160.000,0.000,43.200,No,Production Issue Store,BC-0003026,2024-04-13,8,Consumed,Generated BOM consumption from active BOM.
3027,319,100,55,696.000,709.920,696.000,0.000,13.920,No,Production Issue Store,BC-0003027,2024-04-12,8,Consumed,Generated BOM consumption from active BOM.
3028,319,100,58,696.000,709.920,696.000,0.000,13.920,No,Production Issue Store,BC-0003028,2024-04-12,9,Consumed,Generated BOM consumption from active BOM.
3029,320,101,58,1800.000,1836.000,1800.000,0.000,36.000,No,Production Issue Store,BC-0003029,2024-04-12,9,Consumed,Generated BOM consumption from active BOM.
3030,320,101,59,1800.000,1836.000,1800.000,0.000,36.000,No,Production Issue Store,BC-0003030,2024-04-12,10,Consumed,Generated BOM consumption from active BOM.
3031,321,102,59,1920.000,1958.400,1920.000,0.000,38.400,No,Production Issue Store,BC-0003031,2024-04-14,10,Consumed,Generated BOM consumption from active BOM.
3032,321,102,62,40.000,40.800,40.000,0.000,0.800,m,Production Issue Store,BC-0003032,2024-04-14,11,Consumed,Generated BOM consumption from active BOM.
3033,322,100,60,19.000,19.380,19.000,0.000,0.380,m,Production Issue Store,BC-0003033,2024-04-12,11,Consumed,Generated BOM consumption from active BOM.
3034,322,100,39,114.000,116.280,114.000,0.000,2.280,No,Production Issue Store,BC-0003034,2024-04-12,12,Consumed,Generated BOM consumption from active BOM.
3035,323,101,41,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003035,2024-04-16,12,Consumed,Generated BOM consumption from active BOM.
3036,323,101,43,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003036,2024-04-16,13,Consumed,Generated BOM consumption from active BOM.
3037,324,102,43,70.000,71.400,70.000,0.000,1.400,No,Production Issue Store,BC-0003037,2024-04-12,13,Consumed,Generated BOM consumption from active BOM.
3038,324,102,46,35.000,35.700,35.000,0.000,0.700,No,Production Issue Store,BC-0003038,2024-04-12,1,Consumed,Generated BOM consumption from active BOM.
3039,325,100,45,11.000,11.220,11.000,0.000,0.220,No,Production Issue Store,BC-0003039,2024-04-16,1,Consumed,Generated BOM consumption from active BOM.
3040,325,100,47,11.000,11.220,11.000,0.000,0.220,Set,Production Issue Store,BC-0003040,2024-04-16,3,Consumed,Generated BOM consumption from active BOM.
3041,326,101,47,43.000,43.860,43.000,0.000,0.860,Set,Production Issue Store,BC-0003041,2024-04-16,3,Consumed,Generated BOM consumption from active BOM.
3042,326,101,50,43.000,43.860,43.000,0.000,0.860,No,Production Issue Store,BC-0003042,2024-04-16,4,Consumed,Generated BOM consumption from active BOM.
3043,327,102,51,6.000,6.120,6.000,0.000,0.120,No,Production Issue Store,BC-0003043,2024-04-18,4,Consumed,Generated BOM consumption from active BOM.
3044,327,102,54,48.000,48.960,48.000,0.000,0.960,No,Production Issue Store,BC-0003044,2024-04-18,5,Consumed,Generated BOM consumption from active BOM.
3045,328,100,52,170.000,173.400,170.000,0.000,3.400,No,Production Issue Store,BC-0003045,2024-04-15,5,Consumed,Generated BOM consumption from active BOM.
3046,328,100,63,272.000,277.440,272.000,0.000,5.440,No,Production Issue Store,BC-0003046,2024-04-15,6,Consumed,Generated BOM consumption from active BOM.
3047,329,101,65,260.000,265.200,260.000,0.000,5.200,No,Production Issue Store,BC-0003047,2024-04-15,6,Consumed,Generated BOM consumption from active BOM.
3048,329,101,67,260.000,265.200,260.000,0.000,5.200,No,Production Issue Store,BC-0003048,2024-04-15,7,Consumed,Generated BOM consumption from active BOM.
3049,330,102,68,132.000,134.640,132.000,0.000,2.640,No,Production Issue Store,BC-0003049,2024-04-13,7,Consumed,Generated BOM consumption from active BOM.
3050,330,102,71,132.000,134.640,132.000,0.000,2.640,No,Production Issue Store,BC-0003050,2024-04-13,8,Consumed,Generated BOM consumption from active BOM.
3051,331,100,69,248.000,252.960,248.000,0.000,4.960,No,Production Issue Store,BC-0003051,2024-04-21,8,Consumed,Generated BOM consumption from active BOM.
3052,331,100,72,248.000,252.960,248.000,0.000,4.960,No,Production Issue Store,BC-0003052,2024-04-21,9,Consumed,Generated BOM consumption from active BOM.
3053,332,101,73,140.000,142.800,140.000,0.000,2.800,No,Production Issue Store,BC-0003053,2024-04-16,9,Consumed,Generated BOM consumption from active BOM.
3054,332,101,76,28.000,28.560,28.000,0.000,0.560,No,Production Issue Store,BC-0003054,2024-04-16,10,Consumed,Generated BOM consumption from active BOM.
3055,333,102,77,38.000,38.760,38.000,0.000,0.760,No,Production Issue Store,BC-0003055,2024-04-20,10,Consumed,Generated BOM consumption from active BOM.
3056,333,102,80,5700.000,5814.000,5700.000,0.000,114.000,ml,Production Issue Store,BC-0003056,2024-04-20,11,Consumed,Generated BOM consumption from active BOM.
3057,334,100,80,5400.000,5508.000,5400.000,0.000,108.000,ml,Production Issue Store,BC-0003057,2024-04-20,11,Consumed,Generated BOM consumption from active BOM.
3058,334,100,81,1620.000,1652.400,1620.000,0.000,32.400,g,Production Issue Store,BC-0003058,2024-04-20,12,Consumed,Generated BOM consumption from active BOM.
3059,335,101,81,1080.000,1101.600,1080.000,0.000,21.600,g,Production Issue Store,BC-0003059,2024-04-15,12,Consumed,Generated BOM consumption from active BOM.
3060,335,101,82,192.000,195.840,192.000,0.000,3.840,ml,Production Issue Store,BC-0003060,2024-04-15,13,Consumed,Generated BOM consumption from active BOM.
3061,336,102,82,280.000,285.600,280.000,0.000,5.600,ml,Production Issue Store,BC-0003061,2024-04-19,13,Consumed,Generated BOM consumption from active BOM.
3062,336,102,83,1400.000,1428.000,1400.000,0.000,28.000,g,Production Issue Store,BC-0003062,2024-04-19,1,Consumed,Generated BOM consumption from active BOM.
3063,337,100,83,100.000,102.000,100.000,0.000,2.000,g,Production Issue Store,BC-0003063,2024-04-17,1,Consumed,Generated BOM consumption from active BOM.
