co_id,co_number,customer_id,order_date,required_delivery_date,status,remarks
301,CO-2024-0301,1,2024-04-01,2024-04-18,Confirmed,Generated customer order for finished motor supply.
302,CO-2024-0302,2,2024-04-01,2024-05-03,Confirmed,Generated customer order for finished motor supply.
303,CO-2024-0303,3,2024-04-01,2024-04-21,Confirmed,Generated customer order for finished motor supply.
304,CO-2024-0304,4,2024-04-02,2024-04-16,Confirmed,Generated customer order for finished motor supply.
305,CO-2024-0305,5,2024-04-02,2024-04-30,Confirmed,Generated customer order for finished motor supply.
306,CO-2024-0306,6,2024-04-03,2024-05-02,Confirmed,Generated customer order for finished motor supply.
307,CO-2024-0307,7,2024-04-03,2024-04-30,Confirmed,Generated customer order for finished motor supply.
308,CO-2024-0308,8,2024-04-03,2024-05-04,Confirmed,Generated customer order for finished motor supply.
309,CO-2024-0309,9,2024-04-03,2024-05-01,Confirmed,Generated customer order for finished motor supply.
310,CO-2024-0310,10,2024-04-04,2024-04-30,Confirmed,Generated customer order for finished motor supply.
311,CO-2024-0311,11,2024-04-04,2024-05-07,Confirmed,Generated customer order for finished motor supply.
312,CO-2024-0312,12,2024-04-04,2024-04-22,Confirmed,Generated customer order for finished motor supply.
313,CO-2024-0313,13,2024-04-04,2024-04-25,Confirmed,Generated customer order for finished motor supply.
314,CO-2024-0314,14,2024-04-05,2024-04-29,Confirmed,Generated customer order for finished motor supply.
315,CO-2024-0315,15,2024-04-05,2024-05-02,Confirmed,Generated customer order for finished motor supply.
316,CO-2024-0316,16,2024-04-05,2024-04-27,Confirmed,Generated customer order for finished motor supply.
317,CO-2024-0317,17,2024-04-06,2024-04-27,Confirmed,Generated customer order for finished motor supply.
318,CO-2024-0318,18,2024-04-06,2024-04-20,Confirmed,Generated customer order for finished motor supply.
319,CO-2024-0319,19,2024-04-06,2024-05-02,Confirmed,Generated customer order for finished motor supply.
320,CO-2024-0320,20,2024-04-07,2024-04-20,Confirmed,Generated customer order for finished motor supply.
321,CO-2024-0321,21,2024-04-07,2024-04-29,Confirmed,Generated customer order for finished motor supply.
322,CO-2024-0322,22,2024-04-08,2024-04-28,Confirmed,Generated customer order for finished motor supply.
323,CO-2024-0323,23,2024-04-08,2024-05-08,Confirmed,Generated customer order for finished motor supply.
324,CO-2024-0324,24,2024-04-09,2024-05-01,Confirmed,Generated customer order for finished motor supply.
325,CO-2024-0325,25,2024-04-09,2024-04-19,Confirmed,Generated customer order for finished motor supply.
326,CO-2024-0326,1,2024-04-09,2024-05-02,Confirmed,Generated customer order for finished motor supply.
327,CO-2024-0327,2,2024-04-10,2024-04-25,Confirmed,Generated customer order for finished motor supply.
328,CO-2024-0328,3,2024-04-10,2024-04-29,Confirmed,Generated customer order for finished motor supply.
329,CO-2024-0329,4,2024-04-10,2024-04-27,Confirmed,Generated customer order for finished motor supply.
330,CO-2024-0330,5,2024-04-10,2024-04-24,Confirmed,Generated customer order for finished motor supply.
331,CO-2024-0331,6,2024-04-12,2024-05-16,Confirmed,Generated customer order for finished motor supply.
332,CO-2024-0332,7,2024-04-12,2024-04-28,Confirmed,Generated customer order for finished motor supply.
333,CO-2024-0333,8,2024-04-13,2024-05-06,Confirmed,Generated customer order for finished motor supply.
334,CO-2024-0334,9,2024-04-13,2024-05-14,Confirmed,Generated customer order for finished motor supply.
335,CO-2024-0335,10,2024-04-13,2024-05-02,Confirmed,Generated customer order for finished motor supply.
336,CO-2024-0336,11,2024-04-14,2024-05-18,Confirmed,Generated customer order for finished motor supply.
337,CO-2024-0337,12,2024-04-14,2024-05-04,Confirmed,Generated customer order for finished motor supply.
338,CO-2024-0338,13,2024-04-14,2024-05-18,Confirmed,Generated customer order for finished motor supply.
339,CO-2024-0339,14,2024-04-14,2024-05-05,Confirmed,Generated customer order for finished motor supply.
340,CO-2024-0340,15,2024-04-15,2024-04-25,Confirmed,Generated customer order for finished motor supply.
341,CO-2024-0341,16,2024-04-15,2024-05-17,Confirmed,Generated customer order for finished motor supply.
342,CO-2024-0342,17,2024-04-15,2024-05-17,Confirmed,Generated customer order for finished motor supply.
343,CO-2024-0343,18,2024-04-15,2024-05-20,Confirmed,Generated customer order for finished motor supply.
344,CO-2024-0344,19,2024-04-15,2024-04-28,Confirmed,Generated customer order for finished motor supply.
345,CO-2024-0345,20,2024-04-16,2024-05-17,Confirmed,Generated customer order for finished motor supply.
346,CO-2024-0346,21,2024-04-17,2024-05-05,Confirmed,Generated customer order for finished motor supply.
347,CO-2024-0347,22,2024-04-17,2024-05-18,Confirmed,Generated customer order for finished motor supply.
348,CO-2024-0348,23,2024-04-17,2024-05-22,Confirmed,Generated customer order for finished motor supply.
349,CO-2024-0349,24,2024-04-17,2024-05-02,Confirmed,Generated customer order for finished motor supply.
350,CO-2024-0350,25,2024-04-17,2024-05-06,Confirmed,Generated customer order for finished motor supply.
351,CO-2024-0351,1,2024-04-18,2024-05-04,Confirmed,Generated customer order for finished motor supply.
352,CO-2024-0352,2,2024-04-18,2024-05-05,Confirmed,Generated customer order for finished motor supply.
353,CO-2024-0353,3,2024-04-19,2024-05-14,Confirmed,Generated customer order for finished motor supply.
354,CO-2024-0354,4,2024-04-19,2024-05-09,Confirmed,Generated customer order for finished motor supply.
355,CO-2024-0355,5,2024-04-19,2024-05-16,Confirmed,Generated customer order for finished motor supply.
356,CO-2024-0356,6,2024-04-19,2024-05-16,Confirmed,Generated customer order for finished motor supply.
357,CO-2024-0357,7,2024-04-20,2024-05-05,Confirmed,Generated customer order for finished motor supply.
358,CO-2024-0358,8,2024-04-20,2024-05-01,Confirmed,Generated customer order for finished motor supply.
