fg_receipt_id,fg_receipt_number,production_order_item_id,production_order_id,finished_item_id,received_quantity,accepted_quantity,rejected_quantity,uom,receipt_date,received_by,inspection_status,warehouse_location,batch_number,serial_number_start,serial_number_end,remarks
340,FGR-2024-0340,301,301,100,59.000,59.000,0.000,No,2024-04-15,1,Accepted,Finished Goods Warehouse,FG-0000340,SN0000340A,SN0000340Z,Generated finished goods receipt.
341,FGR-2024-0341,302,302,101,23.000,23.000,0.000,No,2024-04-19,3,Accepted,Finished Goods Warehouse,FG-0000341,SN0000341A,SN0000341Z,Generated finished goods receipt.
342,FGR-2024-0342,303,303,102,19.000,19.000,0.000,No,2024-04-14,4,Accepted,Finished Goods Warehouse,FG-0000342,SN0000342A,SN0000342Z,Generated finished goods receipt.
343,FGR-2024-0343,304,304,100,50.000,50.000,0.000,No,2024-04-16,5,Accepted,Finished Goods Warehouse,FG-0000343,SN0000343A,SN0000343Z,Generated finished goods receipt.
344,FGR-2024-0344,305,305,101,17.000,17.000,0.000,No,2024-04-22,6,Accepted,Finished Goods Warehouse,FG-0000344,SN0000344A,SN0000344Z,Generated finished goods receipt.
345,FGR-2024-0345,306,306,102,45.000,45.000,0.000,No,2024-04-24,7,Accepted,Finished Goods Warehouse,FG-0000345,SN0000345A,SN0000345Z,Generated finished goods receipt.
346,FGR-2024-0346,307,307,100,12.000,12.000,0.000,No,2024-04-24,8,Accepted,Finished Goods Warehouse,FG-0000346,SN0000346A,SN0000346Z,Generated finished goods receipt.
347,FGR-2024-0347,308,308,101,53.000,53.000,0.000,No,2024-04-23,9,Accepted,Finished Goods Warehouse,FG-0000347,SN0000347A,SN0000347Z,Generated finished goods receipt.
348,FGR-2024-0348,309,309,102,43.000,43.000,0.000,No,2024-04-19,10,Accepted,Finished Goods Warehouse,FG-0000348,SN0000348A,SN0000348Z,Generated finished goods receipt.
349,FGR-2024-0349,310,310,100,34.000,34.000,0.000,No,2024-04-20,11,Accepted,Finished Goods Warehouse,FG-0000349,SN0000349A,SN0000349Z,Generated finished goods receipt.
350,FGR-2024-0350,311,311,101,30.000,30.000,0.000,No,2024-04-21,12,Accepted,Finished Goods Warehouse,FG-0000350,SN0000350A,SN0000350Z,Generated finished goods receipt.
351,FGR-2024-0351,312,312,102,38.000,38.000,0.000,No,2024-04-17,13,Accepted,Finished Goods Warehouse,FG-0000351,SN0000351A,SN0000351Z,Generated finished goods receipt.
352,FGR-2024-0352,313,313,100,25.000,25.000,0.000,No,2024-04-23,1,Accepted,Finished Goods Warehouse,FG-0000352,SN0000352A,SN0000352Z,Generated finished goods receipt.
353,FGR-2024-0353,314,314,101,27.000,27.000,0.000,No,2024-04-18,3,Accepted,Finished Goods Warehouse,FG-0000353,SN0000353A,SN0000353Z,Generated finished goods receipt.
354,FGR-2024-0354,315,315,102,16.000,16.000,0.000,No,2024-04-16,4,Accepted,Finished Goods Warehouse,FG-0000354,SN0000354A,SN0000354Z,Generated finished goods receipt.
355,FGR-2024-0355,316,316,100,13.000,13.000,0.000,No,2024-04-17,5,Accepted,Finished Goods Warehouse,FG-0000355,SN0000355A,SN0000355Z,Generated finished goods receipt.
356,FGR-2024-0356,317,317,101,52.000,52.000,0.000,No,2024-04-20,6,Accepted,Finished Goods Warehouse,FG-0000356,SN0000356A,SN0000356Z,Generated finished goods receipt.
357,FGR-2024-0357,318,318,102,45.000,45.000,0.000,No,2024-04-24,7,Accepted,Finished Goods Warehouse,FG-0000357,SN0000357A,SN0000357Z,Generated finished goods receipt.
358,FGR-2024-0358,319,319,100,29.000,29.000,0.000,No,2024-04-16,8,Accepted,Finished Goods Warehouse,FG-0000358,SN0000358A,SN0000358Z,Generated finished goods receipt.
359,FGR-2024-0359,320,320,101,49.000,49.000,0.000,No,2024-04-19,9,Accepted,Finished Goods Warehouse,FG-0000359,SN0000359A,SN0000359Z,Generated finished goods receipt.
360,FGR-2024-0360,321,321,102,39.000,39.000,0.000,No,2024-04-25,10,Accepted,Finished Goods Warehouse,FG-0000360,SN0000360A,SN0000360Z,Generated finished goods receipt.
361,FGR-2024-0361,322,322,100,38.000,38.000,0.000,No,2024-04-24,11,Accepted,Finished Goods Warehouse,FG-0000361,SN0000361A,SN0000361Z,Generated finished goods receipt.
362,FGR-2024-0362,323,323,101,11.000,11.000,0.000,No,2024-04-23,12,Accepted,Finished Goods Warehouse,FG-0000362,SN0000362A,SN0000362Z,Generated finished goods receipt.
363,FGR-2024-0363,324,324,102,35.000,35.000,0.000,No,2024-04-24,13,Accepted,Finished Goods Warehouse,FG-0000363,SN0000363A,SN0000363Z,Generated finished goods receipt.
364,FGR-2024-0364,325,325,100,11.000,11.000,0.000,No,2024-04-26,1,Accepted,Finished Goods Warehouse,FG-0000364,SN0000364A,SN0000364Z,Generated finished goods receipt.
365,FGR-2024-0365,326,326,101,42.000,42.000,0.000,No,2024-04-25,3,Accepted,Finished Goods Warehouse,FG-0000365,SN0000365A,SN0000365Z,Generated finished goods receipt.
366,FGR-2024-0366,327,327,102,6.000,6.000,0.000,No,2024-04-30,4,Accepted,Finished Goods Warehouse,FG-0000366,SN0000366A,SN0000366Z,Generated finished goods receipt.
367,FGR-2024-0367,328,328,100,33.000,33.000,0.000,No,2024-04-20,5,Accepted,Finished Goods Warehouse,FG-0000367,SN0000367A,SN0000367Z,Generated finished goods receipt.
368,FGR-2024-0368,329,329,101,25.000,25.000,0.000,No,2024-04-23,6,Accepted,Finished Goods Warehouse,FG-0000368,SN0000368A,SN0000368Z,Generated finished goods receipt.
369,FGR-2024-0369,330,330,102,11.000,11.000,0.000,No,2024-04-19,7,Accepted,Finished Goods Warehouse,FG-0000369,SN0000369A,SN0000369Z,Generated finished goods receipt.
370,FGR-2024-0370,331,331,100,30.000,30.000,0.000,No,2024-04-26,8,Accepted,Finished Goods Warehouse,FG-0000370,SN0000370A,SN0000370Z,Generated finished goods receipt.
371,FGR-2024-0371,332,332,101,14.000,14.000,0.000,No,2024-04-21,9,Accepted,Finished Goods Warehouse,FG-0000371,SN0000371A,SN0000371Z,Generated finished goods receipt.
372,FGR-2024-0372,333,333,102,18.000,18.000,0.000,No,2024-04-24,10,Accepted,Finished Goods Warehouse,FG-0000372,SN0000372A,SN0000372Z,Generated finished goods receipt.
373,FGR-2024-0373,334,334,100,54.000,54.000,0.000,No,2024-04-26,11,Accepted,Finished Goods Warehouse,FG-0000373,SN0000373A,SN0000373Z,Generated finished goods receipt.
374,FGR-2024-0374,335,335,101,24.000,24.000,0.000,No,2024-04-26,12,Accepted,Finished Goods Warehouse,FG-0000374,SN0000374A,SN0000374Z,Generated finished goods receipt.
375,FGR-2024-0375,336,336,102,27.000,27.000,0.000,No,2024-04-29,13,Accepted,Finished Goods Warehouse,FG-0000375,SN0000375A,SN0000375Z,Generated finished goods receipt.
376,FGR-2024-0376,337,337,100,4.000,4.000,0.000,No,2024-04-27,1,Accepted,Finished Goods Warehouse,FG-0000376,SN0000376A,SN0000376Z,Generated finished goods receipt.
377,FGR-2024-0377,338,338,101,21.000,21.000,0.000,No,2024-04-24,3,Accepted,Finished Goods Warehouse,FG-0000377,SN0000377A,SN0000377Z,Generated finished goods receipt.
378,FGR-2024-0378,339,339,102,23.000,23.000,0.000,No,2024-04-26,4,Accepted,Finished Goods Warehouse,FG-0000378,SN0000378A,SN0000378Z,Generated finished goods receipt.
379,FGR-2024-0379,340,340,100,45.000,45.000,0.000,No,2024-04-25,5,Accepted,Finished Goods Warehouse,FG-0000379,SN0000379A,SN0000379Z,Generated finished goods receipt.
380,FGR-2024-0380,341,341,101,10.000,10.000,0.000,No,2024-04-30,6,Accepted,Finished Goods Warehouse,FG-0000380,SN0000380A,SN0000380Z,Generated finished goods receipt.
381,FGR-2024-0381,342,342,102,57.000,57.000,0.000,No,2024-04-29,7,Accepted,Finished Goods Warehouse,FG-0000381,SN0000381A,SN0000381Z,Generated finished goods receipt.
382,FGR-2024-0382,343,343,100,12.000,12.000,0.000,No,2024-05-02,8,Accepted,Finished Goods Warehouse,FG-0000382,SN0000382A,SN0000382Z,Generated finished goods receipt.
383,FGR-2024-0383,344,344,101,40.000,40.000,0.000,No,2024-04-26,9,Accepted,Finished Goods Warehouse,FG-0000383,SN0000383A,SN0000383Z,Generated finished goods receipt.
384,FGR-2024-0384,345,345,102,3.000,3.000,0.000,No,2024-04-27,10,Accepted,Finished Goods Warehouse,FG-0000384,SN0000384A,SN0000384Z,Generated finished goods receipt.
