grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks
301,GRN-2024-0301,301,1,2024-04-14,INV-000301,2024-04-13,DC-000301,1,Central Stores,Yes,Accepted,Generated goods receipt.
302,GRN-2024-0302,302,2,2024-04-16,INV-000302,2024-04-15,DC-000302,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
303,GRN-2024-0303,303,3,2024-04-19,INV-000303,2024-04-18,DC-000303,4,Electrical Store,Yes,Accepted,Generated goods receipt.
304,GRN-2024-0304,304,4,2024-04-29,INV-000304,2024-04-28,DC-000304,5,Central Stores,Yes,Accepted,Generated goods receipt.
305,GRN-2024-0305,305,5,2024-04-18,INV-000305,2024-04-17,DC-000305,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
306,GRN-2024-0306,306,6,2024-04-21,INV-000306,2024-04-20,DC-000306,7,Electrical Store,Yes,Accepted,Generated goods receipt.
307,GRN-2024-0307,307,7,2024-04-15,INV-000307,2024-04-14,DC-000307,8,Central Stores,Yes,Accepted,Generated goods receipt.
308,GRN-2024-0308,308,8,2024-04-26,INV-000308,2024-04-25,DC-000308,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
309,GRN-2024-0309,309,9,2024-04-25,INV-000309,2024-04-24,DC-000309,10,Electrical Store,Yes,Accepted,Generated goods receipt.
310,GRN-2024-0310,310,10,2024-04-26,INV-000310,2024-04-25,DC-000310,11,Central Stores,Yes,Accepted,Generated goods receipt.
311,GRN-2024-0311,311,11,2024-04-25,INV-000311,2024-04-24,DC-000311,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
312,GRN-2024-0312,312,12,2024-04-30,INV-000312,2024-04-29,DC-000312,13,Electrical Store,Yes,Accepted,Generated goods receipt.
313,GRN-2024-0313,313,13,2024-04-25,INV-000313,2024-04-24,DC-000313,1,Central Stores,Yes,Accepted,Generated goods receipt.
314,GRN-2024-0314,314,14,2024-04-22,INV-000314,2024-04-21,DC-000314,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
315,GRN-2024-0315,315,15,2024-04-24,INV-000315,2024-04-23,DC-000315,4,Electrical Store,Yes,Accepted,Generated goods receipt.
316,GRN-2024-0316,316,16,2024-04-25,INV-000316,2024-04-24,DC-000316,5,Central Stores,Yes,Accepted,Generated goods receipt.
317,GRN-2024-0317,317,17,2024-04-14,INV-000317,2024-04-13,DC-000317,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
318,GRN-2024-0318,318,18,2024-04-15,INV-000318,2024-04-14,DC-000318,7,Electrical Store,Yes,Accepted,Generated goods receipt.
319,GRN-2024-0319,319,19,2024-04-22,INV-000319,2024-04-21,DC-000319,8,Central Stores,Yes,Accepted,Generated goods receipt.
320,GRN-2024-0320,320,20,2024-04-17,INV-000320,2024-04-16,DC-000320,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
321,GRN-2024-0321,321,21,2024-04-28,INV-000321,2024-04-27,DC-000321,10,Electrical Store,Yes,Accepted,Generated goods receipt.
322,GRN-2024-0322,322,22,2024-04-21,INV-000322,2024-04-20,DC-000322,11,Central Stores,Yes,Accepted,Generated goods receipt.
323,GRN-2024-0323,323,23,2024-04-26,INV-000323,2024-04-25,DC-000323,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
324,GRN-2024-0324,324,24,2024-04-25,INV-000324,2024-04-24,DC-000324,13,Electrical Store,Yes,Accepted,Generated goods receipt.
325,GRN-2024-0325,325,25,2024-04-20,INV-000325,2024-04-19,DC-000325,1,Central Stores,Yes,Accepted,Generated goods receipt.
326,GRN-2024-0326,326,26,2024-04-21,INV-000326,2024-04-20,DC-000326,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
327,GRN-2024-0327,327,27,2024-04-19,INV-000327,2024-04-18,DC-000327,4,Electrical Store,Yes,Accepted,Generated goods receipt.
328,GRN-2024-0328,328,28,2024-04-21,INV-000328,2024-04-20,DC-000328,5,Central Stores,Yes,Accepted,Generated goods receipt.
329,GRN-2024-0329,329,29,2024-04-16,INV-000329,2024-04-15,DC-000329,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
330,GRN-2024-0330,330,30,2024-04-23,INV-000330,2024-04-22,DC-000330,7,Electrical Store,Yes,Accepted,Generated goods receipt.
331,GRN-2024-0331,331,31,2024-04-17,INV-000331,2024-04-16,DC-000331,8,Central Stores,Yes,Accepted,Generated goods receipt.
332,GRN-2024-0332,332,32,2024-05-02,INV-000332,2024-05-01,DC-000332,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
333,GRN-2024-0333,333,33,2024-04-28,INV-000333,2024-04-27,DC-000333,10,Electrical Store,Yes,Accepted,Generated goods receipt.
334,GRN-2024-0334,334,34,2024-05-03,INV-000334,2024-05-02,DC-000334,11,Central Stores,Yes,Accepted,Generated goods receipt.
335,GRN-2024-0335,335,35,2024-05-01,INV-000335,2024-04-30,DC-000335,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
336,GRN-2024-0336,336,1,2024-05-02,INV-000336,2024-05-01,DC-000336,13,Electrical Store,Yes,Accepted,Generated goods receipt.
