grn_item_id,grn_id,po_item_id,item_id,ordered_quantity,received_quantity,accepted_quantity,rejected_quantity,uom,unit_price,batch_number,manufacturing_date,expiry_date,quality_status,rejection_reason,storage_location,remarks
301,301,901,1,330.000,330.000,330.000,0.000,No,1800.00,RM-0000301,2024-02-19,2025-04-14,Accepted,,Central Stores,Generated accepted GRN item.
302,301,902,79,441.000,441.000,441.000,0.000,No,4.00,RM-0000302,2024-01-15,2025-04-14,Accepted,,Central Stores,Generated accepted GRN item.
303,302,903,80,8996.000,8996.000,8996.000,0.000,ml,0.81,RM-0000303,2024-01-08,2025-04-16,Accepted,,Central Stores,Generated accepted GRN item.
304,302,904,2,221.000,221.000,221.000,0.000,No,2842.00,RM-0000304,2023-12-24,2025-04-16,Accepted,,Central Stores,Generated accepted GRN item.
305,303,905,3,175.000,175.000,175.000,0.000,No,6386.00,RM-0000305,2024-01-24,2025-04-19,Accepted,,Central Stores,Generated accepted GRN item.
306,303,906,81,15738.000,15738.000,15738.000,0.000,g,1.24,RM-0000306,2024-02-09,2025-04-19,Accepted,,Central Stores,Generated accepted GRN item.
307,304,907,82,43451.000,43451.000,43451.000,0.000,ml,1.57,RM-0000307,2024-03-05,2025-04-29,Accepted,,Central Stores,Generated accepted GRN item.
308,304,908,4,244.000,244.000,244.000,0.000,No,1254.00,RM-0000308,2024-03-22,2025-04-29,Accepted,,Central Stores,Generated accepted GRN item.
309,305,909,5,190.000,190.000,190.000,0.000,No,2332.00,RM-0000309,2024-01-28,2025-04-18,Accepted,,Central Stores,Generated accepted GRN item.
310,305,910,83,28244.000,28244.000,28244.000,0.000,g,0.64,RM-0000310,2023-12-25,2025-04-18,Accepted,,Central Stores,Generated accepted GRN item.
311,306,911,84,86390.000,86390.000,86390.000,0.000,ml,0.25,RM-0000311,2024-03-31,2025-04-21,Accepted,,Central Stores,Generated accepted GRN item.
312,306,912,6,417.000,417.000,417.000,0.000,No,5000.00,RM-0000312,2024-02-11,2025-04-21,Accepted,,Central Stores,Generated accepted GRN item.
313,307,913,7,106.000,106.000,106.000,0.000,No,182.70,RM-0000313,2024-02-19,2025-04-15,Accepted,,Central Stores,Generated accepted GRN item.
314,307,914,85,27005.000,27005.000,27005.000,0.000,g,1.83,RM-0000314,2023-12-23,2025-04-15,Accepted,,Central Stores,Generated accepted GRN item.
315,308,915,86,9384.000,9384.000,9384.000,0.000,g,1.24,RM-0000315,2024-03-22,2025-04-26,Accepted,,Central Stores,Generated accepted GRN item.
316,308,916,8,83.000,83.000,83.000,0.000,No,247.20,RM-0000316,2024-03-23,2025-04-26,Accepted,,Central Stores,Generated accepted GRN item.
317,309,917,9,136.000,136.000,136.000,0.000,No,376.20,RM-0000317,2024-02-24,2025-04-25,Accepted,,Central Stores,Generated accepted GRN item.
318,309,918,87,18038.000,18038.000,18038.000,0.000,g,0.84,RM-0000318,2024-02-22,2025-04-25,Accepted,,Central Stores,Generated accepted GRN item.
319,310,919,88,177.000,177.000,177.000,0.000,No,47.70,RM-0000319,2024-01-05,2025-04-26,Accepted,,Central Stores,Generated accepted GRN item.
320,310,920,10,191.000,191.000,191.000,0.000,No,477.00,RM-0000320,2024-01-07,2025-04-26,Accepted,,Central Stores,Generated accepted GRN item.
