production_order_id,production_order_number,customer_order_id,finished_item_id,department_id,planned_quantity,produced_quantity,rejected_quantity,uom,planned_start_date,planned_end_date,actual_start_date,actual_end_date,priority,production_status,created_by,approved_by,remarks
301,PROD-2024-0301,301,100,5,64.000,59.000,1.000,No,2024-04-10,2024-04-14,2024-04-10,2024-04-14,Low,Completed,1,4,Generated production order.
302,PROD-2024-0302,302,101,5,25.000,23.000,0.000,No,2024-04-10,2024-04-18,2024-04-10,2024-04-18,Medium,Completed,3,5,Generated production order.
303,PROD-2024-0303,303,102,5,22.000,19.000,1.000,No,2024-04-06,2024-04-13,2024-04-06,2024-04-13,High,Completed,4,6,Generated production order.
304,PROD-2024-0304,304,100,5,52.000,50.000,0.000,No,2024-04-04,2024-04-15,2024-04-04,2024-04-15,Urgent,Completed,5,7,Generated production order.
305,PROD-2024-0305,305,101,5,21.000,17.000,1.000,No,2024-04-11,2024-04-21,2024-04-11,2024-04-21,Low,Completed,6,8,Generated production order.
306,PROD-2024-0306,306,102,5,48.000,45.000,1.000,No,2024-04-12,2024-04-23,2024-04-12,2024-04-23,Medium,Completed,7,9,Generated production order.
307,PROD-2024-0307,307,100,5,16.000,12.000,1.000,No,2024-04-12,2024-04-23,2024-04-12,2024-04-23,High,Completed,8,10,Generated production order.
308,PROD-2024-0308,308,101,5,57.000,53.000,0.000,No,2024-04-12,2024-04-22,2024-04-12,2024-04-22,Urgent,Completed,9,11,Generated production order.
309,PROD-2024-0309,309,102,5,47.000,43.000,0.000,No,2024-04-08,2024-04-18,2024-04-08,2024-04-18,Low,Completed,10,12,Generated production order.
310,PROD-2024-0310,310,100,5,37.000,34.000,1.000,No,2024-04-10,2024-04-19,2024-04-10,2024-04-19,Medium,Completed,11,13,Generated production order.
311,PROD-2024-0311,311,101,5,35.000,30.000,1.000,No,2024-04-13,2024-04-20,2024-04-13,2024-04-20,High,Completed,12,1,Generated production order.
312,PROD-2024-0312,312,102,5,42.000,38.000,0.000,No,2024-04-13,2024-04-16,2024-04-13,2024-04-16,Urgent,Completed,13,3,Generated production order.
313,PROD-2024-0313,313,100,5,29.000,25.000,1.000,No,2024-04-11,2024-04-22,2024-04-11,2024-04-22,Low,Completed,1,4,Generated production order.
314,PROD-2024-0314,314,101,5,29.000,27.000,1.000,No,2024-04-08,2024-04-17,2024-04-08,2024-04-17,Medium,Completed,3,5,Generated production order.
315,PROD-2024-0315,315,102,5,17.000,16.000,0.000,No,2024-04-08,2024-04-15,2024-04-08,2024-04-15,High,Completed,4,6,Generated production order.
316,PROD-2024-0316,316,100,5,16.000,13.000,0.000,No,2024-04-09,2024-04-16,2024-04-09,2024-04-16,Urgent,Completed,5,7,Generated production order.
317,PROD-2024-0317,317,101,5,56.000,52.000,0.000,No,2024-04-10,2024-04-19,2024-04-10,2024-04-19,Low,Completed,6,8,Generated production order.
318,PROD-2024-0318,318,102,5,49.000,45.000,0.000,No,2024-04-13,2024-04-23,2024-04-13,2024-04-23,Medium,Completed,7,9,Generated production order.
319,PROD-2024-0319,319,100,5,31.000,29.000,0.000,No,2024-04-12,2024-04-15,2024-04-12,2024-04-15,High,Completed,8,10,Generated production order.
320,PROD-2024-0320,320,101,5,53.000,49.000,1.000,No,2024-04-12,2024-04-18,2024-04-12,2024-04-18,Urgent,Completed,9,11,Generated production order.
321,PROD-2024-0321,321,102,5,43.000,39.000,1.000,No,2024-04-14,2024-04-24,2024-04-14,2024-04-24,Low,Completed,10,12,Generated production order.
322,PROD-2024-0322,322,100,5,40.000,38.000,0.000,No,2024-04-12,2024-04-23,2024-04-12,2024-04-23,Medium,Completed,11,13,Generated production order.
323,PROD-2024-0323,323,101,5,13.000,11.000,1.000,No,2024-04-16,2024-04-22,2024-04-16,2024-04-22,High,Completed,12,1,Generated production order.
324,PROD-2024-0324,324,102,5,37.000,35.000,0.000,No,2024-04-12,2024-04-23,2024-04-12,2024-04-23,Urgent,Completed,13,3,Generated production order.
325,PROD-2024-0325,325,100,5,14.000,11.000,0.000,No,2024-04-16,2024-04-25,2024-04-16,2024-04-25,Low,Completed,1,4,Generated production order.
