production_order_item_id,production_order_id,item_id,planned_quantity,produced_quantity,accepted_quantity,rejected_quantity,uom,production_stage,line_status,remarks
301,301,100,64.000,60.000,59.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
302,302,101,25.000,23.000,23.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
303,303,102,22.000,20.000,19.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
304,304,100,52.000,50.000,50.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
305,305,101,21.000,18.000,17.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
306,306,102,48.000,46.000,45.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
307,307,100,16.000,13.000,12.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
308,308,101,57.000,53.000,53.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
309,309,102,47.000,43.000,43.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
310,310,100,37.000,35.000,34.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
311,311,101,35.000,31.000,30.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
312,312,102,42.000,38.000,38.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
313,313,100,29.000,26.000,25.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
314,314,101,29.000,28.000,27.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
315,315,102,17.000,16.000,16.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
316,316,100,16.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
317,317,101,56.000,52.000,52.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
318,318,102,49.000,45.000,45.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
319,319,100,31.000,29.000,29.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
320,320,101,53.000,50.000,49.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
321,321,102,43.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
322,322,100,40.000,38.000,38.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
323,323,101,13.000,12.000,11.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
324,324,102,37.000,35.000,35.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
325,325,100,14.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
326,326,101,44.000,43.000,42.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
327,327,102,8.000,6.000,6.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
328,328,100,37.000,34.000,33.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
329,329,101,30.000,26.000,25.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
330,330,102,12.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
331,331,100,34.000,31.000,30.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
332,332,101,18.000,14.000,14.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
333,333,102,22.000,19.000,18.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
334,334,100,57.000,54.000,54.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
335,335,101,25.000,24.000,24.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
336,336,102,29.000,28.000,27.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
337,337,100,6.000,5.000,4.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
338,338,101,24.000,22.000,21.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
339,339,102,25.000,23.000,23.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
340,340,100,48.000,46.000,45.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
341,341,101,15.000,11.000,10.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
342,342,102,60.000,58.000,57.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
343,343,100,13.000,12.000,12.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
344,344,101,41.000,40.000,40.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
345,345,102,6.000,4.000,3.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
346,346,100,53.000,51.000,50.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
347,347,101,42.000,41.000,41.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
348,348,102,54.000,50.000,50.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
349,349,100,56.000,55.000,55.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
350,350,101,53.000,49.000,49.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
351,351,102,40.000,39.000,38.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
352,352,100,52.000,49.000,49.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
353,353,101,13.000,10.000,10.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
354,354,102,43.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
355,355,100,62.000,59.000,59.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
356,356,101,29.000,25.000,24.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
357,357,102,61.000,60.000,59.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
358,358,100,36.000,32.000,31.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
359,359,101,35.000,32.000,31.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
360,360,102,21.000,19.000,19.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
361,361,100,10.000,9.000,9.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
362,362,101,55.000,52.000,52.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
363,363,102,47.000,44.000,43.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
364,364,100,29.000,25.000,25.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
365,365,101,59.000,56.000,56.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
366,366,102,17.000,15.000,14.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
367,367,100,50.000,47.000,46.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
368,368,101,33.000,31.000,30.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
369,369,102,42.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
370,370,100,10.000,7.000,6.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
371,371,101,43.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
372,372,102,47.000,44.000,43.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
373,373,100,61.000,59.000,59.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
374,374,101,27.000,23.000,22.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
375,375,102,13.000,9.000,9.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
