po_id,po_number,pr_id,vendor_id,department_id,po_date,expected_delivery_date,payment_terms,delivery_terms,billing_address,shipping_address,subtotal_amount,tax_amount,freight_charges,discount_amount,currency,po_status,approval_status,approved_by,approved_date,remarks
301,PO-2024-0301,151,1,1,2024-04-04,2024-04-24,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",595764.00,107237.52,500.00,0.00,INR,Issued,Approved,6,2024-04-04,Generated purchase order from approved PR.
302,PO-2024-0302,152,2,2,2024-04-02,2024-04-08,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",635368.76,114366.38,575.00,0.00,INR,Issued,Approved,7,2024-04-02,Generated purchase order from approved PR.
303,PO-2024-0303,153,3,2,2024-04-08,2024-04-14,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1137065.12,204671.72,650.00,0.00,INR,Issued,Approved,8,2024-04-08,Generated purchase order from approved PR.
304,PO-2024-0304,154,4,1,2024-04-09,2024-04-28,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",374194.07,67354.93,725.00,0.00,INR,Issued,Approved,9,2024-04-09,Generated purchase order from approved PR.
305,PO-2024-0305,155,5,3,2024-04-07,2024-04-22,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",461156.16,83008.11,800.00,0.00,INR,Issued,Approved,10,2024-04-07,Generated purchase order from approved PR.
306,PO-2024-0306,156,6,3,2024-04-03,2024-04-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2106597.50,379187.55,875.00,0.00,INR,Issued,Approved,11,2024-04-03,Generated purchase order from approved PR.
307,PO-2024-0307,157,7,4,2024-04-08,2024-04-30,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",68785.35,12381.36,950.00,0.00,INR,Issued,Approved,12,2024-04-08,Generated purchase order from approved PR.
308,PO-2024-0308,158,8,4,2024-04-06,2024-04-26,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",32153.76,5787.68,1025.00,0.00,INR,Issued,Approved,13,2024-04-06,Generated purchase order from approved PR.
309,PO-2024-0309,159,9,5,2024-04-09,2024-04-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",66315.12,11936.72,1100.00,0.00,INR,Issued,Approved,1,2024-04-09,Generated purchase order from approved PR.
310,PO-2024-0310,160,10,5,2024-04-08,2024-04-24,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",99549.90,17918.98,1175.00,0.00,INR,Issued,Approved,3,2024-04-08,Generated purchase order from approved PR.
