po_item_id,po_id,pr_item_id,item_id,ordered_quantity,uom,unit_price,line_subtotal,tax_rate,tax_amount,discount_amount,line_total,expected_delivery_date,received_quantity,pending_quantity,line_status,remarks
901,301,301,1,330.000,No,1800.00,594000.00,18.00,106920.00,0.00,700920.00,2024-04-24,0.000,330.000,Ordered,Generated PO item from PR item.
902,301,3151,79,441.000,No,4.00,1764.00,18.00,317.52,0.00,2081.52,2024-04-24,0.000,441.000,Ordered,Generated PO item from PR item.
903,302,3152,80,8996.000,ml,0.81,7286.76,18.00,1311.62,0.00,8598.38,2024-04-08,0.000,8996.000,Ordered,Generated PO item from PR item.
904,302,302,2,221.000,No,2842.00,628082.00,18.00,113054.76,0.00,741136.76,2024-04-08,0.000,221.000,Ordered,Generated PO item from PR item.
905,303,303,3,175.000,No,6386.00,1117550.00,18.00,201159.00,0.00,1318709.00,2024-04-14,0.000,175.000,Ordered,Generated PO item from PR item.
906,303,3153,81,15738.000,g,1.24,19515.12,18.00,3512.72,0.00,23027.84,2024-04-14,0.000,15738.000,Ordered,Generated PO item from PR item.
907,304,3154,82,43451.000,ml,1.57,68218.07,18.00,12279.25,0.00,80497.32,2024-04-28,0.000,43451.000,Ordered,Generated PO item from PR item.
908,304,304,4,244.000,No,1254.00,305976.00,18.00,55075.68,0.00,361051.68,2024-04-28,0.000,244.000,Ordered,Generated PO item from PR item.
909,305,305,5,190.000,No,2332.00,443080.00,18.00,79754.40,0.00,522834.40,2024-04-22,0.000,190.000,Ordered,Generated PO item from PR item.
910,305,3155,83,28244.000,g,0.64,18076.16,18.00,3253.71,0.00,21329.87,2024-04-22,0.000,28244.000,Ordered,Generated PO item from PR item.
911,306,3156,84,86390.000,ml,0.25,21597.50,18.00,3887.55,0.00,25485.05,2024-04-15,0.000,86390.000,Ordered,Generated PO item from PR item.
912,306,306,6,417.000,No,5000.00,2085000.00,18.00,375300.00,0.00,2460300.00,2024-04-15,0.000,417.000,Ordered,Generated PO item from PR item.
913,307,307,7,106.000,No,182.70,19366.20,18.00,3485.92,0.00,22852.12,2024-04-30,0.000,106.000,Ordered,Generated PO item from PR item.
914,307,3157,85,27005.000,g,1.83,49419.15,18.00,8895.45,0.00,58314.60,2024-04-30,0.000,27005.000,Ordered,Generated PO item from PR item.
915,308,3158,86,9384.000,g,1.24,11636.16,18.00,2094.51,0.00,13730.67,2024-04-26,0.000,9384.000,Ordered,Generated PO item from PR item.
916,308,308,8,83.000,No,247.20,20517.60,18.00,3693.17,0.00,24210.77,2024-04-26,0.000,83.000,Ordered,Generated PO item from PR item.
917,309,309,9,136.000,No,376.20,51163.20,18.00,9209.38,0.00,60372.58,2024-04-15,0.000,136.000,Ordered,Generated PO item from PR item.
918,309,3159,87,18038.000,g,0.84,15151.92,18.00,2727.35,0.00,17879.27,2024-04-15,0.000,18038.000,Ordered,Generated PO item from PR item.
919,310,3160,88,177.000,No,47.70,8442.90,18.00,1519.72,0.00,9962.62,2024-04-24,0.000,177.000,Ordered,Generated PO item from PR item.
920,310,310,10,191.000,No,477.00,91107.00,18.00,16399.26,0.00,107506.26,2024-04-24,0.000,191.000,Ordered,Generated PO item from PR item.
921,311,311,11,72.000,No,750.00,54000.00,18.00,9720.00,0.00,63720.00,2024-04-27,0.000,72.000,Ordered,Generated PO item from PR item.
922,311,3161,89,242.000,No,18.00,4356.00,18.00,784.08,0.00,5140.08,2024-04-27,0.000,242.000,Ordered,Generated PO item from PR item.
923,312,3162,90,6.000,Sheet,10.15,60.90,18.00,10.96,0.00,71.86,2024-04-26,0.000,6.000,Ordered,Generated PO item from PR item.
924,312,312,12,236.000,No,1827.00,431172.00,18.00,77610.96,0.00,508782.96,2024-04-26,0.000,236.000,Ordered,Generated PO item from PR item.
925,313,313,13,119.000,No,164.80,19611.20,18.00,3530.02,0.00,23141.22,2024-04-30,0.000,119.000,Ordered,Generated PO item from PR item.
926,313,3163,91,245.000,No,6.18,1514.10,18.00,272.54,0.00,1786.64,2024-04-30,0.000,245.000,Ordered,Generated PO item from PR item.
927,314,3164,92,190.000,m,1.25,237.50,18.00,42.75,0.00,280.25,2024-04-29,0.000,190.000,Ordered,Generated PO item from PR item.
928,314,314,14,167.000,No,229.90,38393.30,18.00,6910.79,0.00,45304.09,2024-04-29,0.000,167.000,Ordered,Generated PO item from PR item.
929,315,315,15,240.000,No,445.20,106848.00,18.00,19232.64,0.00,126080.64,2024-04-15,0.000,240.000,Ordered,Generated PO item from PR item.
930,315,3165,93,36.000,No,3.18,114.48,18.00,20.61,0.00,135.09,2024-04-15,0.000,36.000,Ordered,Generated PO item from PR item.
931,316,3166,94,156.000,No,35.00,5460.00,18.00,982.80,0.00,6442.80,2024-04-15,0.000,156.000,Ordered,Generated PO item from PR item.
932,316,316,16,111.000,No,1300.00,144300.00,18.00,25974.00,0.00,170274.00,2024-04-15,0.000,111.000,Ordered,Generated PO item from PR item.
933,317,317,17,54.000,No,2436.00,131544.00,18.00,23677.92,0.00,155221.92,2024-04-28,0.000,54.000,Ordered,Generated PO item from PR item.
934,317,3167,95,197.000,No,3.05,600.85,18.00,108.15,0.00,709.00,2024-04-28,0.000,197.000,Ordered,Generated PO item from PR item.
935,318,3168,96,36.000,No,4.12,148.32,18.00,26.70,0.00,175.02,2024-04-30,0.000,36.000,Ordered,Generated PO item from PR item.
