pr_id,pr_number,requested_by,department_id,pr_date,required_date,remarks,status,approved_by,approved_date
151,PR-2024-0151,1,1,2024-04-01,2024-04-07,Generated material requisition for EV motor manufacturing.,Converted to PO,5,2024-04-02
152,PR-2024-0152,3,2,2024-04-01,2024-04-11,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-02
153,PR-2024-0153,4,2,2024-04-02,2024-04-07,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-03
154,PR-2024-0154,5,1,2024-04-02,2024-04-06,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-03
155,PR-2024-0155,6,3,2024-04-02,2024-04-18,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-03
156,PR-2024-0156,7,3,2024-04-02,2024-04-06,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-03
157,PR-2024-0157,8,4,2024-04-02,2024-04-15,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-03
158,PR-2024-0158,9,4,2024-04-02,2024-04-19,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-03
159,PR-2024-0159,10,5,2024-04-03,2024-04-19,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-04
160,PR-2024-0160,11,5,2024-04-03,2024-04-14,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-04
161,PR-2024-0161,12,6,2024-04-04,2024-04-10,Generated material requisition for EV motor manufacturing.,Converted to PO,3,2024-04-05
162,PR-2024-0162,13,6,2024-04-04,2024-04-23,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-05
163,PR-2024-0163,1,1,2024-04-04,2024-04-22,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-05
164,PR-2024-0164,3,2,2024-04-04,2024-04-18,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-05
165,PR-2024-0165,4,2,2024-04-04,2024-04-08,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-05
166,PR-2024-0166,5,1,2024-04-04,2024-04-07,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-05
167,PR-2024-0167,6,3,2024-04-04,2024-04-12,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-05
168,PR-2024-0168,7,3,2024-04-05,2024-04-10,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-06
169,PR-2024-0169,8,4,2024-04-05,2024-04-23,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-06
170,PR-2024-0170,9,4,2024-04-05,2024-04-11,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-06
171,PR-2024-0171,10,5,2024-04-05,2024-04-13,Generated material requisition for EV motor manufacturing.,Converted to PO,13,2024-04-06
172,PR-2024-0172,11,5,2024-04-05,2024-04-25,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-06
173,PR-2024-0173,12,6,2024-04-06,2024-04-23,Generated material requisition for EV motor manufacturing.,Approved,3,2024-04-07
174,PR-2024-0174,13,6,2024-04-06,2024-04-12,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-07
175,PR-2024-0175,1,1,2024-04-06,2024-04-15,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-07
176,PR-2024-0176,3,2,2024-04-07,2024-04-19,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-08
177,PR-2024-0177,4,2,2024-04-07,2024-04-21,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-08
178,PR-2024-0178,5,1,2024-04-07,2024-04-26,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-08
179,PR-2024-0179,6,3,2024-04-07,2024-04-25,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-08
180,PR-2024-0180,7,3,2024-04-07,2024-04-27,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-08
181,PR-2024-0181,8,4,2024-04-08,2024-04-11,Generated material requisition for EV motor manufacturing.,Converted to PO,11,2024-04-09
182,PR-2024-0182,9,4,2024-04-08,2024-04-15,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-09
183,PR-2024-0183,10,5,2024-04-08,2024-04-21,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-09
184,PR-2024-0184,11,5,2024-04-08,2024-04-11,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-09
185,PR-2024-0185,12,6,2024-04-09,2024-04-18,Generated material requisition for EV motor manufacturing.,Approved,3,2024-04-10
186,PR-2024-0186,13,6,2024-04-09,2024-04-14,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-10
187,PR-2024-0187,1,1,2024-04-09,2024-04-28,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-10
188,PR-2024-0188,3,2,2024-04-10,2024-04-14,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-11
189,PR-2024-0189,4,2,2024-04-11,2024-04-16,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-12
190,PR-2024-0190,5,1,2024-04-11,2024-04-17,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-12
191,PR-2024-0191,6,3,2024-04-12,2024-04-17,Generated material requisition for EV motor manufacturing.,Converted to PO,9,2024-04-13
192,PR-2024-0192,7,3,2024-04-12,2024-04-25,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-13
193,PR-2024-0193,8,4,2024-04-12,2024-04-21,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-13
194,PR-2024-0194,9,4,2024-04-13,2024-05-02,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-14
195,PR-2024-0195,10,5,2024-04-13,2024-04-20,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-14
196,PR-2024-0196,11,5,2024-04-14,2024-04-26,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-15
197,PR-2024-0197,12,6,2024-04-15,2024-04-29,Generated material requisition for EV motor manufacturing.,Approved,3,2024-04-16
198,PR-2024-0198,13,6,2024-04-15,2024-04-29,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-16
199,PR-2024-0199,1,1,2024-04-15,2024-05-02,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-16
200,PR-2024-0200,3,2,2024-04-15,2024-04-21,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-16
201,PR-2024-0201,4,2,2024-04-16,2024-04-28,Generated material requisition for EV motor manufacturing.,Converted to PO,7,2024-04-17
202,PR-2024-0202,5,1,2024-04-17,2024-05-04,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-18
203,PR-2024-0203,6,3,2024-04-17,2024-05-05,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-18
204,PR-2024-0204,7,3,2024-04-17,2024-05-01,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-18
205,PR-2024-0205,8,4,2024-04-18,2024-05-02,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-19
206,PR-2024-0206,9,4,2024-04-18,2024-05-06,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-19
207,PR-2024-0207,10,5,2024-04-18,2024-05-02,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-19
208,PR-2024-0208,11,5,2024-04-19,2024-05-09,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-20
209,PR-2024-0209,12,6,2024-04-19,2024-04-24,Generated material requisition for EV motor manufacturing.,Approved,3,2024-04-20
210,PR-2024-0210,13,6,2024-04-19,2024-04-28,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-20
211,PR-2024-0211,1,1,2024-04-19,2024-04-24,Generated material requisition for EV motor manufacturing.,Converted to PO,5,2024-04-20
212,PR-2024-0212,3,2,2024-04-20,2024-04-24,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-21
213,PR-2024-0213,4,2,2024-04-20,2024-05-01,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-21
214,PR-2024-0214,5,1,2024-04-20,2024-04-27,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-21
215,PR-2024-0215,6,3,2024-04-20,2024-04-30,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-21
216,PR-2024-0216,7,3,2024-04-20,2024-04-30,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-21
217,PR-2024-0217,8,4,2024-04-20,2024-05-04,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-21
218,PR-2024-0218,9,4,2024-04-21,2024-05-11,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-22
219,PR-2024-0219,10,5,2024-04-21,2024-05-09,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-22
220,PR-2024-0220,11,5,2024-04-21,2024-04-30,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-22
221,PR-2024-0221,12,6,2024-04-21,2024-04-29,Generated material requisition for EV motor manufacturing.,Converted to PO,3,2024-04-22
222,PR-2024-0222,13,6,2024-04-22,2024-05-08,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-23
223,PR-2024-0223,1,1,2024-04-22,2024-04-27,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-23
224,PR-2024-0224,3,2,2024-04-22,2024-05-04,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-23
225,PR-2024-0225,4,2,2024-04-22,2024-05-02,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-23
226,PR-2024-0226,5,1,2024-04-23,2024-04-29,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-24
227,PR-2024-0227,6,3,2024-04-24,2024-05-08,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-25
228,PR-2024-0228,7,3,2024-04-25,2024-05-03,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-26
229,PR-2024-0229,8,4,2024-04-25,2024-05-01,Generated material requisition for EV motor manufacturing.,Approved,11,2024-04-26
230,PR-2024-0230,9,4,2024-04-25,2024-05-09,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-26
231,PR-2024-0231,10,5,2024-04-25,2024-05-01,Generated material requisition for EV motor manufacturing.,Converted to PO,13,2024-04-26
232,PR-2024-0232,11,5,2024-04-25,2024-05-10,Generated material requisition for EV motor manufacturing.,Approved,1,2024-04-26
233,PR-2024-0233,12,6,2024-04-26,2024-05-01,Generated material requisition for EV motor manufacturing.,Approved,3,2024-04-27
234,PR-2024-0234,13,6,2024-04-26,2024-05-06,Generated material requisition for EV motor manufacturing.,Approved,4,2024-04-27
235,PR-2024-0235,1,1,2024-04-26,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,5,2024-04-27
236,PR-2024-0236,3,2,2024-04-27,2024-05-04,Generated material requisition for EV motor manufacturing.,Approved,6,2024-04-28
237,PR-2024-0237,4,2,2024-04-27,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,7,2024-04-28
238,PR-2024-0238,5,1,2024-04-27,2024-05-12,Generated material requisition for EV motor manufacturing.,Approved,8,2024-04-28
239,PR-2024-0239,6,3,2024-04-27,2024-05-16,Generated material requisition for EV motor manufacturing.,Approved,9,2024-04-28
240,PR-2024-0240,7,3,2024-04-29,2024-05-05,Generated material requisition for EV motor manufacturing.,Approved,10,2024-04-30
241,PR-2024-0241,8,4,2024-04-29,2024-05-14,Generated material requisition for EV motor manufacturing.,Converted to PO,11,2024-04-30
242,PR-2024-0242,9,4,2024-04-29,2024-05-18,Generated material requisition for EV motor manufacturing.,Approved,12,2024-04-30
243,PR-2024-0243,10,5,2024-04-29,2024-05-15,Generated material requisition for EV motor manufacturing.,Approved,13,2024-04-30
244,PR-2024-0244,11,5,2024-04-30,2024-05-06,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-01
245,PR-2024-0245,12,6,2024-04-30,2024-05-17,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-01
