pr_item_id,pr_id,item_id,requested_quantity,uom,required_date,estimated_unit_cost,priority,reason_for_requirement,current_stock_quantity,reorder_level,budget_code,remarks,status
301,151,1,330.000,No,2024-04-07,1800.00,Urgent,Required for Core Components consumption plan.,0.000,800.000,BG-2024-01,Generated PR item.,Converted to PO
302,152,2,221.000,No,2024-04-11,2800.00,High,Required for Core Components consumption plan.,0.000,480.000,BG-2024-02,Generated PR item.,Converted to PO
303,153,3,175.000,No,2024-04-07,6200.00,High,Required for Core Components consumption plan.,0.000,240.000,BG-2024-03,Generated PR item.,Converted to PO
304,154,4,244.000,No,2024-04-06,1200.00,High,Required for Core Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
305,155,5,190.000,No,2024-04-18,2200.00,Urgent,Required for Core Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
306,156,6,417.000,No,2024-04-06,5000.00,High,Required for Core Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
307,157,7,106.000,No,2024-04-15,180.00,High,Required for Magnetic Components consumption plan.,0.000,6400.000,BG-2024-07,Generated PR item.,Converted to PO
308,158,8,83.000,No,2024-04-19,240.00,High,Required for Magnetic Components consumption plan.,0.000,4800.000,BG-2024-08,Generated PR item.,Converted to PO
309,159,9,136.000,No,2024-04-19,360.00,Urgent,Required for Magnetic Components consumption plan.,0.000,2880.000,BG-2024-09,Generated PR item.,Converted to PO
310,160,10,191.000,No,2024-04-14,450.00,High,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-10,Generated PR item.,Converted to PO
311,161,11,72.000,No,2024-04-10,750.00,High,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-11,Generated PR item.,Converted to PO
312,162,12,236.000,No,2024-04-23,1800.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-12,Generated PR item.,Converted to PO
313,163,13,119.000,No,2024-04-22,160.00,Urgent,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-01,Generated PR item.,Converted to PO
314,164,14,167.000,No,2024-04-18,220.00,High,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-02,Generated PR item.,Converted to PO
315,165,15,240.000,No,2024-04-08,420.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-03,Generated PR item.,Converted to PO
316,166,16,111.000,No,2024-04-07,1300.00,High,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
317,167,17,54.000,No,2024-04-12,2400.00,Urgent,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
318,168,18,188.000,No,2024-04-10,5200.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
319,169,19,6.000,No,2024-04-23,450.00,High,Required for Mechanical Components consumption plan.,0.000,1520.000,BG-2024-07,Generated PR item.,Converted to PO
320,170,20,117.000,No,2024-04-11,450.00,High,Required for Mechanical Components consumption plan.,0.000,1520.000,BG-2024-08,Generated PR item.,Converted to PO
321,171,21,246.000,No,2024-04-13,60.00,Urgent,Required for Mechanical Components consumption plan.,0.000,1280.000,BG-2024-09,Generated PR item.,Converted to PO
322,172,22,106.000,No,2024-04-25,120.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-10,Generated PR item.,Converted to PO
323,173,23,70.000,No,2024-04-23,120.00,High,Required for Bearings consumption plan.,0.000,1600.000,BG-2024-11,Generated PR item.,Converted to PO
324,174,24,55.000,No,2024-04-12,220.00,High,Required for Bearings consumption plan.,0.000,960.000,BG-2024-12,Generated PR item.,Converted to PO
325,175,25,25.000,No,2024-04-15,650.00,Urgent,Required for Bearings consumption plan.,0.000,480.000,BG-2024-01,Generated PR item.,Converted to PO
326,176,26,83.000,No,2024-04-19,15.00,High,Required for Sealing Components consumption plan.,0.000,1520.000,BG-2024-02,Generated PR item.,Converted to PO
327,177,27,133.000,No,2024-04-21,45.00,High,Required for Sealing Components consumption plan.,0.000,1280.000,BG-2024-03,Generated PR item.,Converted to PO
328,178,28,30.000,No,2024-04-26,110.00,High,Required for Sealing Components consumption plan.,0.000,480.000,BG-2024-04,Generated PR item.,Converted to PO
329,179,29,89.000,kg,2024-04-25,850.00,Urgent,Required for Electrical Components consumption plan.,0.000,1440.000,BG-2024-05,Generated PR item.,Converted to PO
330,180,30,89.000,kg,2024-04-27,880.00,High,Required for Electrical Components consumption plan.,0.000,1536.000,BG-2024-06,Generated PR item.,Converted to PO
331,181,31,169.000,kg,2024-04-11,920.00,High,Required for Electrical Components consumption plan.,0.000,1560.000,BG-2024-07,Generated PR item.,Converted to PO
332,182,32,79.000,m,2024-04-15,35.00,High,Required for Electrical Components consumption plan.,0.000,2400.000,BG-2024-08,Generated PR item.,Converted to PO
333,183,33,425.000,m,2024-04-21,60.00,Urgent,Required for Electrical Components consumption plan.,0.000,1920.000,BG-2024-09,Generated PR item.,Converted to PO
334,184,34,217.000,m,2024-04-11,150.00,High,Required for Electrical Components consumption plan.,0.000,1200.000,BG-2024-10,Generated PR item.,Converted to PO
335,185,35,165.000,No,2024-04-18,90.00,High,Required for Electrical Components consumption plan.,0.000,800.000,BG-2024-11,Generated PR item.,Converted to PO
336,186,36,142.000,No,2024-04-14,180.00,High,Required for Electrical Components consumption plan.,0.000,480.000,BG-2024-12,Generated PR item.,Converted to PO
337,187,37,78.000,No,2024-04-28,420.00,Urgent,Required for Electrical Components consumption plan.,0.000,240.000,BG-2024-01,Generated PR item.,Converted to PO
338,188,38,233.000,No,2024-04-14,12.00,High,Required for Electrical Components consumption plan.,0.000,4560.000,BG-2024-02,Generated PR item.,Converted to PO
339,189,39,60.000,No,2024-04-16,45.00,High,Required for Electronic Components consumption plan.,0.000,2400.000,BG-2024-03,Generated PR item.,Converted to PO
340,190,40,13.000,No,2024-04-17,120.00,High,Required for Electronic Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
341,191,41,189.000,No,2024-04-17,1400.00,Urgent,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
342,192,42,157.000,No,2024-04-25,3200.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
343,193,43,224.000,No,2024-04-21,85.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-07,Generated PR item.,Converted to PO
344,194,44,117.000,No,2024-05-02,220.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-08,Generated PR item.,Converted to PO
345,195,45,9.000,No,2024-04-20,350.00,Urgent,Required for Electronic Components consumption plan.,0.000,1280.000,BG-2024-09,Generated PR item.,Converted to PO
346,196,46,9.000,No,2024-04-26,750.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-10,Generated PR item.,Converted to PO
347,197,47,37.000,Set,2024-04-29,450.00,High,Required for Electronic Components consumption plan.,0.000,1280.000,BG-2024-11,Generated PR item.,Converted to PO
348,198,48,23.000,Set,2024-04-29,950.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-12,Generated PR item.,Converted to PO
349,199,49,231.000,No,2024-05-02,25.00,Urgent,Required for Electronic Components consumption plan.,0.000,800.000,BG-2024-01,Generated PR item.,Converted to PO
350,200,50,34.000,No,2024-04-21,40.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-02,Generated PR item.,Converted to PO
351,201,51,221.000,No,2024-04-28,110.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-03,Generated PR item.,Converted to PO
352,202,52,58.000,No,2024-05-04,2.00,High,Required for Electronic Components consumption plan.,0.000,4000.000,BG-2024-04,Generated PR item.,Converted to PO
353,203,53,34.000,No,2024-05-05,3.00,Urgent,Required for Electronic Components consumption plan.,0.000,2880.000,BG-2024-05,Generated PR item.,Converted to PO
354,204,54,72.000,No,2024-05-01,5.00,High,Required for Electronic Components consumption plan.,0.000,1920.000,BG-2024-06,Generated PR item.,Converted to PO
355,205,55,40.000,No,2024-05-02,8.00,High,Required for Insulation Materials consumption plan.,0.000,19200.000,BG-2024-07,Generated PR item.,Converted to PO
356,206,56,103.000,No,2024-05-06,10.00,High,Required for Insulation Materials consumption plan.,0.000,17280.000,BG-2024-08,Generated PR item.,Converted to PO
357,207,57,86.000,No,2024-05-02,12.00,Urgent,Required for Insulation Materials consumption plan.,0.000,11520.000,BG-2024-09,Generated PR item.,Converted to PO
358,208,58,135.000,No,2024-05-09,6.00,High,Required for Insulation Materials consumption plan.,0.000,48000.000,BG-2024-10,Generated PR item.,Converted to PO
359,209,59,137.000,No,2024-04-24,5.00,High,Required for Insulation Materials consumption plan.,0.000,48000.000,BG-2024-11,Generated PR item.,Converted to PO
