bom_consumption_id,production_order_item_id,finished_item_id,consumed_item_id,planned_quantity,issued_quantity,actual_consumed_quantity,returned_quantity,wastage_quantity,uom,warehouse_location,batch_number,consumption_date,consumed_by,transaction_status,remarks,created_at,updated_at
1,1,100,103,40.000,40.000,40.000,0.000,0.000,No,ASMB_WIP,SFG-ST15-2025-01-05-1,2025-01-05,1,Consumed,Assembly consumption of Finished Stator 1.5kW.,2025-01-05 09:07:00,2025-01-05 16:11:00
2,1,100,106,40.000,40.000,40.000,0.000,0.000,No,ASMB_WIP,SFG-RT15-2025-01-07-1,2025-01-07,1,Consumed,Assembly consumption of Finished Rotor 1.5kW.,2025-01-07 09:14:00,2025-01-07 16:22:00
3,1,100,16,40.000,40.960,40.000,0.000,0.960,No,Mechanical Store,MEC007-20250105-0007,2025-01-05,1,Consumed,Consumed material consumption for PROD202501030001; Final Motor Assembly,2025-01-05 09:42:00,2025-01-05 16:06:00
4,2,101,104,18.000,18.000,18.000,0.000,0.000,No,ASMB_WIP,SFG-ST30-2025-05-12-2,2025-05-12,1,Closed,Assembly consumption of Finished Stator 3kW.,2025-05-12 09:49:00,2025-05-12 16:17:00
5,2,101,107,18.000,18.000,18.000,0.000,0.000,No,ASMB_WIP,SFG-RT30-2025-05-10-2,2025-05-10,1,Consumed,Assembly consumption of Finished Rotor 3kW.,2025-05-10 09:56:00,2025-05-10 16:28:00
6,2,101,17,18.000,18.432,18.000,0.000,0.432,No,Mechanical Store,MEC008-20250510-0013,2025-05-10,1,Consumed,Consumed material consumption for PROD202505090002; Final Motor Assembly,2025-05-10 09:24:00,2025-05-10 16:12:00
7,2,101,19,18.000,18.072,18.000,0.000,0.072,No,Mechanical Store,MEC010-20250512-0014,2025-05-12,1,Consumed,Consumed material consumption for PROD202505090002; Final Motor Assembly,2025-05-12 09:31:00,2025-05-12 16:23:00
8,3,102,105,24.000,15.000,15.000,0.000,0.000,No,ASMB_WIP,SFG-ST75-2025-05-12-3,2025-05-12,1,Partially Consumed,Assembly consumption of Finished Stator 7.5kW.,2025-05-12 09:38:00,2025-05-12 16:34:00
9,3,102,108,24.000,15.000,15.000,0.000,0.000,No,ASMB_WIP,SFG-RT75-2025-05-10-3,2025-05-10,1,Returned,Assembly consumption of Finished Rotor 7.5kW.,2025-05-10 09:45:00,2025-05-10 16:45:00
10,3,102,18,15.000,15.300,15.000,0.300,0.000,No,Mechanical Store,MEC009-20250510-0020,2025-05-10,1,Returned,Returned material consumption for PROD202505100003; Final Motor Assembly,2025-05-10 09:13:00,2025-05-10 16:29:00
11,3,102,19,15.000,9.828,9.750,0.000,0.078,No,Mechanical Store,MEC010-20250512-0021,2025-05-12,1,Partially Consumed,Partially Consumed material consumption for PROD202505100003; Final Motor Assembly,2025-05-12 09:20:00,2025-05-12 16:40:00
12,3,102,20,15.000,15.270,15.000,0.000,0.270,No,Mechanical Store,MEC011-20250510-0022,2025-05-10,1,Returned,Returned material consumption for PROD202505100003; Final Motor Assembly,2025-05-10 09:27:00,2025-05-10 16:51:00
13,4,103,29,30.000,10.689,10.500,0.000,0.189,kg,STAT_WIP,ELE001-20250519-0023,2025-05-19,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-19 09:34:00,2025-05-19 16:02:00
14,4,103,55,37.500,24.863,24.375,0.488,0.000,No,STAT_WIP,INS001-20250517-0024,2025-05-17,1,Partially Consumed,Partially Consumed material consumption for PROD202505160004; Stator Assembly,2025-05-17 09:41:00,2025-05-17 16:13:00
15,4,103,58,15.000,5.292,5.250,0.000,0.042,No,STAT_WIP,INS004-20250519-0025,2025-05-19,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-19 09:48:00,2025-05-19 16:24:00
