bom_id,bom_code,parent_item_id,component_item_id,component_name,component_category,specification,quantity_per_unit,uom,scrap_factor_percent,production_stage,effective_from,effective_to,status,remarks,created_at,updated_at
1,BOM-FG001-001,100,16,Aluminium Housing,Mechanical Components,ADC12 Die Cast Housing,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
2,BOM-FG001-002,100,19,Front End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
3,BOM-FG001-003,100,20,Rear End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
4,BOM-FG001-004,100,78,Internal Circlip,Fasteners,DIN 472,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
5,BOM-FG001-005,100,79,External Circlip,Fasteners,DIN 471,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
6,BOM-FG001-006,100,26,O-Ring,Sealing Components,Nitrile Rubber,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
7,BOM-FG001-007,100,27,Oil Seal,Sealing Components,NBR,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
8,BOM-FG001-008,100,32,Phase Lead Wire,Electrical Components,2.5 mm² Silicone Cable,3.000,m,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
9,BOM-FG001-009,100,35,Terminal Block,Electrical Components,3 Phase,1.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
10,BOM-FG001-010,100,38,Terminal Lug,Electrical Components,Copper Tinned,3.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
11,BOM-FG001-011,100,58,Phase Insulation Paper,Insulation Materials,Class H,24.000,No,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
12,BOM-FG001-012,100,60,Heat Shrink Sleeve,Insulation Materials,Ø6 mm,0.500,m,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
13,BOM-FG001-013,100,39,Hall Sensor,Electronic Components,A3144 or Equivalent,3.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
