co_id,co_number,customer_id,order_date,required_delivery_date,status,remarks
1,CO202504020001,11,2025-04-02,2025-04-28,Closed,Trial batch order
2,CO202504040001,8,2025-04-04,2025-04-15,Closed,Regular scheduled order
3,CO202504040002,19,2025-04-04,2025-04-22,Closed,Repeat customer order
4,CO202504070001,6,2025-04-07,2025-05-06,Closed,Trial batch order
5,CO202504080001,2,2025-04-08,2025-04-21,Partially Dispatched,Urgent OEM requirement
6,CO202504100001,2,2025-04-10,2025-05-05,Closed,Monthly production supply order
7,CO202504160001,16,2025-04-16,2025-05-08,Closed,Repeat customer order
8,CO202504210001,4,2025-04-21,2025-05-06,Dispatched,Regular scheduled order
9,CO202504250001,20,2025-04-25,2025-05-23,Dispatched,Repeat customer order
10,CO202504270001,7,2025-04-27,2025-05-27,Closed,Repeat customer order
11,CO202504280001,7,2025-04-28,2025-05-14,Dispatched,Urgent OEM requirement
12,CO202505030001,7,2025-05-03,2025-05-22,Closed,Regular scheduled order
13,CO202505030002,21,2025-05-03,2025-05-28,Dispatched,Regular scheduled order
14,CO202505060001,7,2025-05-06,2025-06-03,Closed,Trial batch order
15,CO202505070001,2,2025-05-07,2025-05-20,Partially Dispatched,Urgent OEM requirement
16,CO202505070002,5,2025-05-07,2025-05-26,Partially Dispatched,Monthly production supply order
17,CO202505080001,14,2025-05-08,2025-05-31,Dispatched,Repeat customer order
18,CO202505090001,1,2025-05-09,2025-05-19,Closed,Regular scheduled order
19,CO202505090002,10,2025-05-09,2025-05-27,Closed,Monthly production supply order
20,CO202505100001,2,2025-05-10,2025-05-29,Closed,Monthly production supply order
21,CO202505100002,10,2025-05-10,2025-05-29,Dispatched,Urgent OEM requirement
22,CO202505100003,11,2025-05-10,2025-06-06,Dispatched,Regular scheduled order
23,CO202505120001,10,2025-05-12,2025-05-28,Confirmed,Regular scheduled order
24,CO202505160001,4,2025-05-16,2025-06-03,Partially Dispatched,Monthly production supply order
25,CO202505160002,5,2025-05-16,2025-06-15,Closed,Regular scheduled order
26,CO202505210001,16,2025-05-21,2025-06-01,Cancelled,Cancelled by customer before production
27,CO202505240001,6,2025-05-24,2025-06-04,Closed,Trial batch order
28,CO202505250001,4,2025-05-25,2025-06-24,Closed,Repeat customer order
29,CO202505250002,10,2025-05-25,2025-06-13,Closed,Trial batch order
30,CO202505300001,9,2025-05-30,2025-06-20,Dispatched,Urgent OEM requirement
31,CO202506010001,16,2025-06-01,2025-06-30,Cancelled,Cancelled by customer before production
32,CO202506040001,7,2025-06-04,2025-07-01,Closed,Regular scheduled order
33,CO202506060001,8,2025-06-06,2025-06-21,Closed,Repeat customer order
34,CO202506060002,11,2025-06-06,2025-06-28,Dispatched,Urgent OEM requirement
35,CO202506060003,20,2025-06-06,2025-07-02,Closed,Trial batch order
36,CO202506090001,5,2025-06-09,2025-06-19,Closed,Trial batch order
37,CO202506110001,13,2025-06-11,2025-07-06,Dispatched,Repeat customer order
38,CO202506150001,6,2025-06-15,2025-07-15,Dispatched,Urgent OEM requirement
39,CO202506160001,16,2025-06-16,2025-07-12,Closed,Monthly production supply order
40,CO202506220001,5,2025-06-22,2025-07-20,Closed,Trial batch order
41,CO202506230001,7,2025-06-23,2025-07-10,Closed,Trial batch order
42,CO202506260001,4,2025-06-26,2025-07-10,Dispatched,Repeat customer order
43,CO202506280001,4,2025-06-28,2025-07-23,Closed,Trial batch order
44,CO202506280002,21,2025-06-28,2025-07-19,Dispatched,Urgent OEM requirement
45,CO202506300001,11,2025-06-30,2025-07-16,Partially Dispatched,Monthly production supply order
46,CO202507030001,9,2025-07-03,2025-07-14,Dispatched,Repeat customer order
47,CO202507060001,9,2025-07-06,2025-08-03,Closed,Repeat customer order
48,CO202507080001,13,2025-07-08,2025-07-20,Partially Dispatched,Partial dispatch expected
49,CO202507090001,1,2025-07-09,2025-07-20,Closed,Repeat customer order
50,CO202507090002,7,2025-07-09,2025-07-25,Dispatched,Repeat customer order
51,CO202507110001,1,2025-07-11,2025-07-25,Closed,Repeat customer order
52,CO202507110002,7,2025-07-11,2025-08-04,Closed,Regular scheduled order
53,CO202507120001,2,2025-07-12,2025-07-27,Closed,Regular scheduled order
54,CO202507120002,11,2025-07-12,2025-08-11,Closed,Regular scheduled order
55,CO202507130001,11,2025-07-13,2025-07-30,Closed,Trial batch order
56,CO202507170001,14,2025-07-17,2025-08-14,Partially Dispatched,Monthly production supply order
57,CO202507220001,4,2025-07-22,2025-08-17,Closed,Trial batch order
58,CO202507220002,6,2025-07-22,2025-08-07,Dispatched,Urgent OEM requirement
59,CO202507240001,23,2025-07-24,2025-08-04,Dispatched,Urgent OEM requirement
60,CO202507250001,20,2025-07-25,2025-08-20,Closed,Regular scheduled order
61,CO202507260001,3,2025-07-26,2025-08-13,Closed,Regular scheduled order
62,CO202507260002,7,2025-07-26,2025-08-05,Dispatched,Regular scheduled order
63,CO202507270001,16,2025-07-27,2025-08-18,Closed,Regular scheduled order
64,CO202507270002,17,2025-07-27,2025-08-20,Dispatched,Urgent OEM requirement
65,CO202507280001,6,2025-07-28,2025-08-13,Closed,Trial batch order
66,CO202507280002,17,2025-07-28,2025-08-13,Dispatched,Repeat customer order
67,CO202507300001,15,2025-07-30,2025-08-25,Dispatched,Urgent OEM requirement
68,CO202507310001,3,2025-07-31,2025-08-24,Closed,Monthly production supply order
69,CO202507310002,9,2025-07-31,2025-08-10,Cancelled,Cancelled by customer before production
70,CO202508010001,4,2025-08-01,2025-08-31,Closed,Regular scheduled order
71,CO202508020001,19,2025-08-02,2025-08-24,Partially Dispatched,Urgent OEM requirement
72,CO202508030001,1,2025-08-03,2025-08-27,Dispatched,Repeat customer order
73,CO202508030002,9,2025-08-03,2025-08-30,Closed,Regular scheduled order
74,CO202508030003,21,2025-08-03,2025-08-13,Partially Dispatched,Urgent OEM requirement
75,CO202508030004,22,2025-08-03,2025-08-29,Dispatched,Urgent OEM requirement
76,CO202508040001,13,2025-08-04,2025-08-27,Dispatched,Regular scheduled order
77,CO202508070001,7,2025-08-07,2025-08-17,Dispatched,Repeat customer order
78,CO202508080001,3,2025-08-08,2025-09-03,Closed,Monthly production supply order
79,CO202508090001,7,2025-08-09,2025-09-02,Dispatched,Urgent OEM requirement
80,CO202508100001,12,2025-08-10,2025-09-03,Closed,Repeat customer order
81,CO202508120001,4,2025-08-12,2025-09-10,Closed,Regular scheduled order
82,CO202508140001,7,2025-08-14,2025-08-31,Closed,Regular scheduled order
83,CO202508140002,11,2025-08-14,2025-08-27,Dispatched,Regular scheduled order
84,CO202508150001,3,2025-08-15,2025-09-14,Closed,Regular scheduled order
85,CO202508150002,9,2025-08-15,2025-08-29,Closed,Regular scheduled order
86,CO202508150003,15,2025-08-15,2025-08-30,Closed,Monthly production supply order
87,CO202508160001,6,2025-08-16,2025-09-14,Closed,Monthly production supply order
88,CO202508170001,15,2025-08-17,2025-08-30,Closed,Trial batch order
