grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks,created_at,updated_at
1,GRN202504260001,141,3,2025-04-26,INV-202504050141-01,2025-04-25,DC-202504050141-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Magnetic Components against PO202504050141,2025-04-26 09:05:00,2025-04-26 10:05:00
2,GRN202504250002,2,2,2025-04-25,INV-202504080002-01,2025-04-23,DC-202504080002-01,6,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202504080002,2025-04-25 09:10:00,2025-04-25 10:10:00
3,GRN202504270003,2,2,2025-04-27,INV-202504080002-02,2025-04-25,DC-202504080002-02,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202504080002,2025-04-27 09:15:00,2025-04-27 10:15:00
4,GRN202504300004,142,22,2025-04-30,INV-202504080142-01,2025-04-28,DC-202504080142-01,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202504080142,2025-04-30 09:20:00,2025-04-30 10:20:00
5,GRN202505020005,142,22,2025-05-02,INV-202504080142-02,2025-04-30,DC-202504080142-02,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202504080142,2025-05-02 09:25:00,2025-05-02 10:25:00
6,GRN202504240006,3,20,2025-04-24,INV-202504100003-01,2025-04-21,DC-202504100003-01,10,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202504100003,2025-04-24 09:30:00,2025-04-24 10:30:00
7,GRN202504290007,143,20,2025-04-29,INV-202504100143-01,2025-04-26,DC-202504100143-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202504100143,2025-04-29 09:35:00,2025-04-29 10:35:00
8,GRN202505240008,4,4,2025-05-24,INV-202504270004-01,2025-05-24,DC-202504270004-01,12,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202504270004,2025-05-24 09:40:00,2025-05-24 10:40:00
9,GRN202505210009,4,4,2025-05-21,INV-202504270004-02,2025-05-21,DC-202504270004-02,3,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202504270004,2025-05-21 09:45:00,2025-05-21 10:45:00
10,GRN202505180010,6,35,2025-05-18,INV-202504300006-01,2025-05-16,DC-202504300006-01,3,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202504300006,2025-05-18 09:50:00,2025-05-18 10:50:00
11,GRN202505200011,6,35,2025-05-20,INV-202504300006-02,2025-05-18,DC-202504300006-02,6,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202504300006,2025-05-20 09:55:00,2025-05-20 10:55:00
12,GRN202505140012,146,35,2025-05-14,INV-202504300146-01,2025-05-12,DC-202504300146-01,6,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202504300146,2025-05-14 09:00:00,2025-05-14 10:00:00
13,GRN202505160013,146,35,2025-05-16,INV-202504300146-02,2025-05-14,DC-202504300146-02,8,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202504300146,2025-05-16 09:05:00,2025-05-16 10:05:00
14,GRN202506060014,7,4,2025-06-06,INV-202505090007-01,2025-06-03,DC-202505090007-01,8,Packaging Store,No,Accepted,Accepted receipt for Packaging Materials against PO202505090007,2025-06-06 09:10:00,2025-06-06 10:10:00
15,GRN202506070015,147,6,2025-06-07,INV-202505090147-01,2025-06-04,DC-202505090147-01,9,Packaging Store,Yes,Accepted,Accepted receipt for Packaging Materials against PO202505090147,2025-06-07 09:15:00,2025-06-07 10:15:00
16,GRN202506050016,148,4,2025-06-05,INV-202505100148-01,2025-06-05,DC-202505100148-01,10,Electrical Store,Yes,Accepted,Accepted receipt for Magnetic Components against PO202505100148,2025-06-05 09:20:00,2025-06-05 10:20:00
17,GRN202506070017,148,4,2025-06-07,INV-202505100148-02,2025-06-07,DC-202505100148-02,12,Electrical Store,Yes,Accepted,Accepted receipt for Magnetic Components against PO202505100148,2025-06-07 09:25:00,2025-06-07 10:25:00
18,GRN202506060018,272,4,2025-06-06,INV-202505120272-01,2025-06-06,DC-202505120272-01,12,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Core Components against PO202505120272,2025-06-06 09:30:00,2025-06-06 10:30:00
19,GRN202506080019,272,4,2025-06-08,INV-202505120272-02,2025-06-08,DC-202505120272-02,3,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202505120272,2025-06-08 09:35:00,2025-06-08 10:35:00
20,GRN202506210020,273,7,2025-06-21,INV-202505230273-01,2025-06-20,DC-202505230273-01,3,Electrical Store,Yes,Accepted,Accepted receipt for Magnetic Components against PO202505230273,2025-06-21 09:40:00,2025-06-21 10:40:00
21,GRN202506020021,10,28,2025-06-02,INV-202505250010-01,2025-05-31,DC-202505250010-01,4,Packaging Store,Yes,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202505250010,2025-06-02 09:45:00,2025-06-02 10:45:00
22,GRN202506040022,10,28,2025-06-04,INV-202505250010-02,2025-06-02,DC-202505250010-02,7,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202505250010,2025-06-04 09:50:00,2025-06-04 10:50:00
23,GRN202506110023,150,30,2025-06-11,INV-202505250150-01,2025-06-09,DC-202505250150-01,7,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202505250150,2025-06-11 09:55:00,2025-06-11 10:55:00
24,GRN202506130024,150,30,2025-06-13,INV-202505250150-02,2025-06-11,DC-202505250150-02,9,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Packaging Materials against PO202505250150,2025-06-13 09:00:00,2025-06-13 10:00:00
25,GRN202506060025,11,20,2025-06-06,INV-202505260011-01,2025-06-03,DC-202505260011-01,9,Mechanical Store,Yes,Accepted,Accepted receipt for Sealing Components against PO202505260011,2025-06-06 09:05:00,2025-06-06 10:05:00
26,GRN202506110026,151,20,2025-06-11,INV-202505260151-01,2025-06-08,DC-202505260151-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Sealing Components against PO202505260151,2025-06-11 09:10:00,2025-06-11 10:10:00
27,GRN202506190027,12,24,2025-06-19,INV-202506010012-01,2025-06-19,DC-202506010012-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202506010012,2025-06-19 09:15:00,2025-06-19 10:15:00
28,GRN202506210028,12,24,2025-06-21,INV-202506010012-02,2025-06-21,DC-202506010012-02,13,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202506010012,2025-06-21 09:20:00,2025-06-21 10:20:00
29,GRN202506270029,274,10,2025-06-27,INV-202506030274-01,2025-06-25,DC-202506030274-01,13,Mechanical Store,Yes,Accepted,Accepted receipt for Mechanical Components against PO202506030274,2025-06-27 09:25:00,2025-06-27 10:25:00
30,GRN202506220030,13,28,2025-06-22,INV-202506080013-01,2025-06-21,DC-202506080013-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Consumables against PO202506080013,2025-06-22 09:30:00,2025-06-22 10:30:00
31,GRN202507010031,153,30,2025-07-01,INV-202506080153-01,2025-06-30,DC-202506080153-01,4,Consumables Store,No,Received,Received receipt for Consumables against PO202506080153,2025-07-01 09:35:00,2025-07-01 10:35:00
32,GRN202507050032,14,35,2025-07-05,INV-202506150014-01,2025-07-03,DC-202506150014-01,6,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202506150014,2025-07-05 09:40:00,2025-07-05 10:40:00
33,GRN202507020033,14,35,2025-07-02,INV-202506150014-02,2025-06-30,DC-202506150014-02,8,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202506150014,2025-07-02 09:45:00,2025-07-02 10:45:00
34,GRN202507010034,154,35,2025-07-01,INV-202506150154-01,2025-06-29,DC-202506150154-01,8,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202506150154,2025-07-01 09:50:00,2025-07-01 10:50:00
35,GRN202506280035,154,35,2025-06-28,INV-202506150154-02,2025-06-26,DC-202506150154-02,10,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202506150154,2025-06-28 09:55:00,2025-06-28 10:55:00
36,GRN202506300036,15,20,2025-06-30,INV-202506160015-01,2025-06-27,DC-202506160015-01,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202506160015,2025-06-30 09:00:00,2025-06-30 10:00:00
37,GRN202506260037,155,20,2025-06-26,INV-202506160155-01,2025-06-23,DC-202506160155-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202506160155,2025-06-26 09:05:00,2025-06-26 10:05:00
38,GRN202507010038,156,30,2025-07-01,INV-202506160156-01,2025-07-01,DC-202506160156-01,12,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202506160156,2025-07-01 09:10:00,2025-07-01 10:10:00
39,GRN202507030039,156,30,2025-07-03,INV-202506160156-02,2025-07-03,DC-202506160156-02,3,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202506160156,2025-07-03 09:15:00,2025-07-03 10:15:00
40,GRN202507080040,17,16,2025-07-08,INV-202506180017-01,2025-07-07,DC-202506180017-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Bearings against PO202506180017,2025-07-08 09:20:00,2025-07-08 10:20:00
41,GRN202507030041,157,15,2025-07-03,INV-202506180157-01,2025-07-02,DC-202506180157-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Bearings against PO202506180157,2025-07-03 09:25:00,2025-07-03 10:25:00
42,GRN202507230042,18,24,2025-07-23,INV-202506280018-01,2025-07-21,DC-202506280018-01,6,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202506280018,2025-07-23 09:30:00,2025-07-23 10:30:00
43,GRN202507250043,18,24,2025-07-25,INV-202506280018-02,2025-07-23,DC-202506280018-02,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202506280018,2025-07-25 09:35:00,2025-07-25 10:35:00
44,GRN202507190044,158,2,2025-07-19,INV-202506280158-01,2025-07-17,DC-202506280158-01,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202506280158,2025-07-19 09:40:00,2025-07-19 10:40:00
45,GRN202507210045,158,2,2025-07-21,INV-202506280158-02,2025-07-19,DC-202506280158-02,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202506280158,2025-07-21 09:45:00,2025-07-21 10:45:00
46,GRN202507120046,19,28,2025-07-12,INV-202506300019-01,2025-07-09,DC-202506300019-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202506300019,2025-07-12 09:50:00,2025-07-12 10:50:00
47,GRN202507210047,159,30,2025-07-21,INV-202506300159-01,2025-07-18,DC-202506300159-01,11,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202506300159,2025-07-21 09:55:00,2025-07-21 10:55:00
48,GRN202507170048,20,2,2025-07-17,INV-202507020020-01,2025-07-17,DC-202507020020-01,12,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202507020020,2025-07-17 09:00:00,2025-07-17 10:00:00
49,GRN202507190049,20,2,2025-07-19,INV-202507020020-02,2025-07-19,DC-202507020020-02,3,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202507020020,2025-07-19 09:05:00,2025-07-19 10:05:00
50,GRN202507290050,21,27,2025-07-29,INV-202507060021-01,2025-07-28,DC-202507060021-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Insulation Materials against PO202507060021,2025-07-29 09:10:00,2025-07-29 10:10:00
51,GRN202507290051,161,26,2025-07-29,INV-202507060161-01,2025-07-28,DC-202507060161-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Insulation Materials against PO202507060161,2025-07-29 09:15:00,2025-07-29 10:15:00
52,GRN202507180052,277,19,2025-07-18,INV-202507060277-01,2025-07-17,DC-202507060277-01,6,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202507060277,2025-07-18 09:20:00,2025-07-18 10:20:00
53,GRN202507270053,22,28,2025-07-27,INV-202507140022-01,2025-07-25,DC-202507140022-01,7,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202507140022,2025-07-27 09:25:00,2025-07-27 10:25:00
54,GRN202507290054,22,28,2025-07-29,INV-202507140022-02,2025-07-27,DC-202507140022-02,9,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202507140022,2025-07-29 09:30:00,2025-07-29 10:30:00
55,GRN202508050055,162,30,2025-08-05,INV-202507140162-01,2025-08-03,DC-202507140162-01,9,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202507140162,2025-08-05 09:35:00,2025-08-05 10:35:00
