inventory_id,balance_id,item_id,department_id,location_id,warehouse_location,quantity_on_hand,reserved_quantity,available_quantity,reorder_level,safety_stock,max_stock,current_stock,inventory_value,last_updated,status,data_issue_quantity
1,1,1,2,RMWH_STORE,RMWH_STORE,43.000,43.000,0.000,800.000,400.000,1600.000,43.000,77400.00,2026-07-08,Below Reorder,0.000
2,2,2,2,RMWH_STORE,RMWH_STORE,0.000,0.000,0.000,480.000,240.000,960.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,288.931
3,3,2,3,STAT_WIP,STAT_WIP,453.000,331.000,122.000,168.000,84.000,453.000,453.000,1268400.00,2026-07-08,Active,0.000
4,4,3,2,RMWH_STORE,RMWH_STORE,0.000,0.000,0.000,240.000,120.000,480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,461.942
5,5,3,3,STAT_WIP,STAT_WIP,466.000,0.000,466.000,84.000,42.000,466.000,466.000,2889200.00,2026-07-08,Active,0.000
6,6,4,2,RMWH_STORE,RMWH_STORE,494.000,0.000,494.000,800.000,400.000,1600.000,494.000,592800.00,2026-07-08,Below Reorder,0.000
7,7,4,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,280.000,140.000,560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,494.000
8,8,6,2,RMWH_STORE,RMWH_STORE,0.000,0.000,0.000,240.000,120.000,480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,345.059
9,9,6,4,ROTR_WIP,ROTR_WIP,353.000,0.000,353.000,84.000,42.000,353.000,353.000,1765000.00,2026-07-08,Active,0.000
10,10,7,2,RMWH_STORE,RMWH_STORE,3586.057,0.000,3586.057,6400.000,3200.000,12800.000,3586.057,645490.26,2026-07-08,Below Reorder,0.000
11,11,7,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,2240.000,1120.000,4480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,7223.234
12,12,8,2,RMWH_STORE,RMWH_STORE,71.088,0.000,71.088,4800.000,2400.000,9600.000,71.088,17061.12,2026-07-08,Below Reorder,0.000
13,13,8,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,1680.000,840.000,3360.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,333.000
14,14,9,2,RMWH_STORE,RMWH_STORE,321.494,0.000,321.494,2880.000,1440.000,5760.000,321.494,115737.84,2026-07-08,Below Reorder,0.000
15,15,10,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,280.000,140.000,560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,7554.082
16,16,13,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,280.000,140.000,560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,3550.849
17,17,14,2,RMWH_STORE,RMWH_STORE,29.131,0.000,29.131,480.000,240.000,960.000,29.131,6408.82,2026-07-08,Below Reorder,0.000
18,18,16,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,280.000,140.000,560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,240.000
19,19,16,2,RMWH_STORE,RMWH_STORE,354.816,0.000,354.816,800.000,400.000,1600.000,354.816,461260.80,2026-07-08,Below Reorder,0.000
20,20,17,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,168.000,84.000,336.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,360.000
