production_order_id,production_order_number,customer_order_id,finished_item_id,department_id,planned_quantity,produced_quantity,rejected_quantity,uom,planned_start_date,planned_end_date,actual_start_date,actual_end_date,priority,production_status,created_by,approved_by,remarks,created_at,updated_at
1,PROD202501030001,,100,5,40.000,40.000,0.000,No,2025-01-03,2025-01-06,2025-01-04,2025-01-08,Medium,Completed,1,1,Make-to-stock production for BLDC Motor 1.5 kW,2025-01-02 09:00:00,2025-01-03 17:00:00
2,PROD202505090002,15,101,5,18.000,18.000,0.000,No,2025-05-09,2025-05-12,2025-05-09,2025-05-12,High,Completed,1,1,Make-to-order production linked to SO202606300015,2025-05-08 09:07:00,2025-05-09 17:11:00
3,PROD202505100003,16,102,5,24.000,15.000,0.000,No,2025-05-10,2025-05-13,2025-05-10,2025-05-13,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300016,2025-05-09 09:14:00,2025-05-10 17:22:00
4,PROD202505160004,23,103,3,200.000,30.000,0.000,No,2025-05-16,2025-05-20,2025-05-17,,Low,In Progress,1,1,Make-to-order production linked to SO202606300023,2025-05-15 09:21:00,2025-05-16 17:33:00
5,PROD202505210005,24,104,3,240.000,0.000,0.000,No,2025-05-21,2025-05-26,,,Medium,Released,1,1,Make-to-order production linked to SO202606300024,2025-05-20 09:28:00,2025-05-21 17:44:00
6,PROD202501180006,,105,3,300.000,0.000,0.000,No,2025-01-18,2025-01-23,,,High,Planned,1,,Make-to-stock production for Finished Stator 7.5kW,2025-01-17 09:35:00,2025-01-18 17:55:00
7,PROD202507150007,48,106,4,70.000,0.000,0.000,No,2025-07-15,2025-07-18,2025-07-16,,High,On Hold,1,1,Production hold for Finished Rotor 1.5kW: awaiting material clearance from stores,2025-07-14 09:42:00,2025-07-15 17:06:00
8,PROD202507180008,56,107,4,110.000,0.000,0.000,No,2025-07-18,2025-07-21,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 3kW,2025-07-17 09:49:00,2025-07-18 17:17:00
9,PROD202508040009,71,108,4,150.000,147.000,3.000,No,2025-08-04,2025-08-08,2025-08-04,2025-08-08,Medium,Completed,1,1,Make-to-order production linked to SO202606300071,2025-08-03 09:56:00,2025-08-04 17:28:00
10,PROD202508060010,74,106,4,190.000,185.000,5.000,No,2025-08-06,2025-08-10,2025-08-07,2025-08-10,High,Completed,1,1,Make-to-order production linked to SO202606300074,2025-08-05 09:03:00,2025-08-06 17:39:00
11,PROD202502020011,,107,4,230.000,149.000,0.000,No,2025-02-02,2025-02-06,2025-02-02,2025-02-07,Medium,Partially Completed,1,1,Make-to-stock production for Finished Rotor 3kW,2025-02-01 09:10:00,2025-02-02 17:50:00
12,PROD202509110012,104,108,4,280.000,86.000,0.000,No,2025-09-11,2025-09-16,2025-09-11,,Low,In Progress,1,1,Make-to-order production linked to SO202606300104,2025-09-10 09:17:00,2025-09-11 17:01:00
13,PROD202509270013,121,100,5,12.000,0.000,0.000,No,2025-09-27,2025-09-30,,,Medium,Released,1,1,Make-to-order production linked to SO202606300121,2025-09-26 09:24:00,2025-09-27 17:12:00
14,PROD202509300014,125,101,5,18.000,0.000,0.000,No,2025-09-30,2025-10-03,,,High,Planned,1,,Make-to-order production linked to SO202606300125,2025-09-29 09:31:00,2025-09-30 17:23:00
15,PROD202509250015,127,102,5,24.000,0.000,0.000,No,2025-09-25,2025-09-28,2025-09-25,,High,On Hold,1,1,Production hold for PMSM Motor 7.5 kW: awaiting material clearance from stores,2025-09-24 09:38:00,2025-09-25 17:34:00
16,PROD202502170016,,103,3,200.000,0.000,0.000,No,2025-02-17,2025-02-21,,,Low,Cancelled,1,1,Cancelled due to revised production plan for Finished Stator 1.5kW,2025-02-16 09:45:00,2025-02-17 17:45:00
17,PROD202510010017,130,104,3,240.000,238.000,2.000,No,2025-10-01,2025-10-06,2025-10-01,2025-10-06,Medium,Completed,1,1,Make-to-order production linked to SO202606300130,2025-09-30 09:52:00,2025-10-01 17:56:00
18,PROD202510070018,134,105,3,300.000,296.000,4.000,No,2025-10-07,2025-10-12,2025-10-07,2025-10-12,High,Completed,1,1,Make-to-order production linked to SO202606300134,2025-10-06 09:59:00,2025-10-07 17:07:00
19,PROD202510100019,139,106,4,70.000,45.000,0.000,No,2025-10-10,2025-10-13,2025-10-11,2025-10-15,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300139,2025-10-09 09:06:00,2025-10-10 17:18:00
20,PROD202510190020,146,107,4,110.000,25.000,0.000,No,2025-10-19,2025-10-22,2025-10-19,,Low,In Progress,1,1,Make-to-order production linked to SO202606300146,2025-10-18 09:13:00,2025-10-19 17:29:00
21,PROD202503040021,,108,4,150.000,0.000,0.000,No,2025-03-04,2025-03-08,,,Medium,Released,1,1,Make-to-stock production for Finished Rotor 7.5kW,2025-03-03 09:20:00,2025-03-04 17:40:00
22,PROD202511150022,168,106,4,190.000,0.000,0.000,No,2025-11-15,2025-11-19,,,High,Planned,1,,Make-to-order production linked to SO202606300168,2025-11-14 09:27:00,2025-11-15 17:51:00
23,PROD202511170023,169,107,4,230.000,0.000,0.000,No,2025-11-17,2025-11-21,2025-11-17,,High,On Hold,1,1,Production hold for Finished Rotor 3kW: awaiting material clearance from stores,2025-11-16 09:34:00,2025-11-17 17:02:00
24,PROD202511190024,171,108,4,280.000,0.000,0.000,No,2025-11-19,2025-11-24,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 7.5kW,2025-11-18 09:41:00,2025-11-19 17:13:00
25,PROD202512140025,190,100,5,12.000,12.000,0.000,No,2025-12-14,2025-12-17,2025-12-15,2025-12-19,Medium,Completed,1,1,Make-to-order production linked to SO202606300190,2025-12-13 09:48:00,2025-12-14 17:24:00
26,PROD202503190026,,101,5,60.000,60.000,0.000,No,2025-03-19,2025-03-23,2025-03-19,2025-03-24,High,Completed,1,1,Make-to-stock production for PMSM Motor 3 kW,2025-03-18 09:55:00,2025-03-19 17:35:00
27,PROD202601240027,227,102,5,24.000,15.000,0.000,No,2026-01-24,2026-01-27,2026-01-24,2026-01-27,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300227,2026-01-23 09:02:00,2026-01-24 17:46:00
28,PROD202601280028,230,103,3,200.000,30.000,0.000,No,2026-01-28,2026-02-01,2026-01-29,,Low,In Progress,1,1,Make-to-order production linked to SO202606300230,2026-01-27 09:09:00,2026-01-28 17:57:00
29,PROD202601220029,231,104,3,240.000,0.000,0.000,No,2026-01-22,2026-01-27,,,Medium,Released,1,1,Make-to-order production linked to SO202606300231,2026-01-21 09:16:00,2026-01-22 17:08:00
30,PROD202601270030,236,105,3,300.000,0.000,0.000,No,2026-01-27,2026-02-01,,,High,Planned,1,,Make-to-order production linked to SO202606300236,2026-01-26 09:23:00,2026-01-27 17:19:00
31,PROD202504030031,,106,4,70.000,0.000,0.000,No,2025-04-03,2025-04-06,2025-04-04,,High,On Hold,1,1,Production hold for Finished Rotor 1.5kW: awaiting material clearance from stores,2025-04-02 09:30:00,2025-04-03 17:30:00
32,PROD202602110032,255,107,4,110.000,0.000,0.000,No,2026-02-11,2026-02-14,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 3kW,2026-02-10 09:37:00,2026-02-11 17:41:00
33,PROD202602250033,267,108,4,150.000,148.000,2.000,No,2026-02-25,2026-03-01,2026-02-25,2026-03-01,Medium,Completed,1,1,Make-to-order production linked to SO202606300267,2026-02-24 09:44:00,2026-02-25 17:52:00
34,PROD202603030034,272,106,4,190.000,187.000,3.000,No,2026-03-03,2026-03-07,2026-03-04,2026-03-07,High,Completed,1,1,Make-to-order production linked to SO202606300272,2026-03-02 09:51:00,2026-03-03 17:03:00
35,PROD202603090035,276,107,4,230.000,149.000,4.000,No,2026-03-09,2026-03-13,2026-03-09,2026-03-13,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300276,2026-03-08 09:58:00,2026-03-09 17:14:00
36,PROD202504180036,,108,4,280.000,86.000,0.000,No,2025-04-18,2025-04-23,2025-04-18,,Low,In Progress,1,1,Make-to-stock production for Finished Rotor 7.5kW,2025-04-17 09:05:00,2025-04-18 17:25:00
37,PROD202603140037,284,100,5,12.000,0.000,0.000,No,2026-03-14,2026-03-17,,,Medium,Released,1,1,Make-to-order production linked to SO202606300284,2026-03-13 09:12:00,2026-03-14 17:36:00
38,PROD202603210038,290,101,5,18.000,0.000,0.000,No,2026-03-21,2026-03-24,,,High,Planned,1,,Make-to-order production linked to SO202606300290,2026-03-20 09:19:00,2026-03-21 17:47:00
39,PROD202603260039,295,102,5,24.000,0.000,0.000,No,2026-03-26,2026-03-29,2026-03-26,,High,On Hold,1,1,Production hold for PMSM Motor 7.5 kW: awaiting material clearance from stores,2026-03-25 09:26:00,2026-03-26 17:58:00
40,PROD202504130040,5,103,3,200.000,0.000,0.000,No,2025-04-13,2025-04-17,,,Low,Cancelled,1,1,Cancelled due to revised production plan for Finished Stator 1.5kW,2025-04-12 09:33:00,2025-04-13 17:09:00
41,PROD202505030041,,104,3,240.000,239.000,1.000,No,2025-05-03,2025-05-08,2025-05-03,2025-05-09,Medium,Completed,1,1,Make-to-stock production for Finished Stator 3kW,2025-05-02 09:40:00,2025-05-03 17:20:00
42,PROD202505140042,16,105,3,300.000,297.000,3.000,No,2025-05-14,2025-05-19,2025-05-14,2025-05-19,High,Completed,1,1,Make-to-order production linked to SO202606300016,2025-05-13 09:47:00,2025-05-14 17:31:00
43,PROD202505130043,23,106,4,70.000,45.000,0.000,No,2025-05-13,2025-05-16,2025-05-14,2025-05-18,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300023,2025-05-12 09:54:00,2025-05-13 17:42:00
44,PROD202505180044,24,107,4,110.000,25.000,0.000,No,2025-05-18,2025-05-21,2025-05-18,,Low,In Progress,1,1,Make-to-order production linked to SO202606300024,2025-05-17 09:01:00,2025-05-18 17:53:00
45,PROD202507030045,45,108,4,150.000,0.000,0.000,No,2025-07-03,2025-07-07,,,Medium,Released,1,1,Make-to-order production linked to SO202606300045,2025-07-02 09:08:00,2025-07-03 17:04:00
46,PROD202505180046,,106,4,190.000,0.000,0.000,No,2025-05-18,2025-05-22,,,High,Planned,1,,Make-to-stock production for Finished Rotor 1.5kW,2025-05-17 09:15:00,2025-05-18 17:15:00
