po_id,po_number,pr_id,vendor_id,department_id,po_date,expected_delivery_date,payment_terms,delivery_terms,billing_address,shipping_address,subtotal_amount,tax_amount,freight_charges,discount_amount,total_po_amount,currency,po_status,approval_status,approved_by,approved_date,remarks,created_at,updated_at
1,PO202504050001,1,1,1,2025-04-05,2025-04-20,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",417800.00,75204.00,4006.80,6267.00,490743.80,INR,Issued,Pending,,,PR-based procurement for Electrical Components from PR202606300001,2025-04-05 10:00:00,2025-04-05 11:00:00
2,PO202504080002,3,2,2,2025-04-08,2025-04-26,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",653000.00,117540.00,6724.00,0.00,777264.00,INR,Partially Received,Approved,3,2025-04-09,PR-based procurement for Electrical Components from PR202606300003,2025-04-08 10:07:00,2025-04-08 11:07:00
3,PO202504100003,4,20,1,2025-04-10,2025-04-24,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",501200.00,90216.00,6512.00,0.00,597928.00,INR,Fully Received,Approved,4,2025-04-12,PR-based procurement for Electronic Components from PR202606300004,2025-04-10 10:14:00,2025-04-10 11:14:00
4,PO202504270004,5,4,1,2025-04-27,2025-05-23,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",2372900.00,427122.00,15737.40,0.00,2815759.40,INR,Closed,Approved,5,2025-04-27,PR-based procurement for Core Components from PR202606300005,2025-04-27 10:21:00,2025-04-27 11:21:00
5,PO202505030005,6,29,1,2025-05-03,2025-05-19,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",63700.00,11466.00,2009.60,0.00,77175.60,INR,Issued,Approved,6,2025-05-04,PR-based procurement for Fasteners from PR202606300006,2025-05-03 10:28:00,2025-05-03 11:28:00
6,PO202504300006,7,35,1,2025-04-30,2025-05-20,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",40400.00,7272.00,1904.00,0.00,49576.00,INR,Partially Received,Approved,7,2025-05-02,PR-based procurement for Packaging Materials from PR202606300007,2025-04-30 10:35:00,2025-04-30 11:35:00
7,PO202505090007,8,4,2,2025-05-09,2025-06-07,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",345800.00,62244.00,3574.80,0.00,411618.80,INR,Fully Received,Approved,8,2025-05-09,PR-based procurement for Core Components from PR202606300008,2025-05-09 10:42:00,2025-05-09 11:42:00
8,PO202505100008,9,5,1,2025-05-10,2025-06-07,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",924300.00,166374.00,8894.40,13864.50,1085703.90,INR,Cancelled,Pending,,,PR-based procurement for Core Components from PR202606300009,2025-05-10 10:49:00,2025-05-10 11:49:00
9,PO202505130009,10,10,1,2025-05-13,2025-06-08,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",3455700.00,622026.00,36057.00,0.00,4113783.00,INR,Issued,Pending,,,PR-based procurement for Finished Goods from PR202606300010,2025-05-13 10:56:00,2025-05-13 11:56:00
10,PO202505250010,11,28,1,2025-05-25,2025-06-05,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",53000.00,9540.00,1818.00,0.00,64358.00,INR,Partially Received,Approved,11,2025-05-25,PR-based procurement for Fasteners from PR202606300011,2025-05-25 10:03:00,2025-05-25 11:03:00
