po_item_id,po_id,pr_item_id,item_id,ordered_quantity,uom,unit_price,line_subtotal,tax_rate,tax_amount,discount_amount,line_total,expected_delivery_date,received_quantity,pending_quantity,line_status,remarks,created_at,updated_at
1,1,1,1,43.000,No,3886.511628,167120.00,18.00,30081.60,2506.80,194694.80,2025-04-08,0.000,43.000,Ordered,PO line converted from PR item 1 for Stator Core 1.5 kW,2025-04-04 14:03:00,2025-04-04 15:03:00
2,1,2,8,244.400,No,1025.695581,250680.00,18.00,45122.40,3760.20,292042.20,2025-04-09,0.000,244.400,Ordered,PO line converted from PR item 2 for NdFeB Magnet N45,2025-04-04 14:06:00,2025-04-04 15:06:00
3,2,11,23,395.200,No,367.183983,145111.11,18.00,26120.00,0.00,171231.11,2025-04-12,395.200,0.000,Fully Received,PO line converted from PR item 11 for Bearing 6202-2RS,2025-04-07 14:09:00,2025-04-07 15:09:00
4,2,12,30,640.000,kg,340.104172,217666.67,18.00,39180.00,0.00,256846.67,2025-04-13,448.000,192.000,Partially Received,PO line converted from PR item 12 for Copper Wire 1.20 mm,2025-04-07 14:12:00,2025-04-07 15:12:00
5,2,13,37,338.800,No,856.618123,290222.22,18.00,52240.00,0.00,342462.22,2025-04-14,84.700,254.100,Partially Received,PO line converted from PR item 13 for Terminal Block Industrial,2025-04-07 14:15:00,2025-04-07 15:15:00
6,3,16,34,700.000,m,102.285714,71600.00,18.00,12888.00,0.00,84488.00,2025-04-15,700.000,0.000,Fully Received,PO line converted from PR item 16 for Phase Lead Wire 10 mm²,2025-04-09 14:18:00,2025-04-09 15:18:00
7,3,17,41,50.050,No,2145.854146,107400.00,18.00,19332.00,0.00,126732.00,2025-04-16,50.050,0.000,Fully Received,PO line converted from PR item 17 for Resolver / Encoder,2025-04-09 14:21:00,2025-04-09 15:21:00
8,3,18,48,156.500,Set,915.015974,143200.00,18.00,25776.00,0.00,168976.00,2025-04-17,156.500,0.000,Fully Received,PO line converted from PR item 18 for Wiring Harness Industrial,2025-04-09 14:24:00,2025-04-09 15:24:00
9,3,19,55,1367.600,No,130.886224,179000.00,18.00,32220.00,0.00,211220.00,2025-04-12,1367.600,0.000,Fully Received,PO line converted from PR item 19 for Slot Liner 0.25 mm,2025-04-09 14:27:00,2025-04-09 15:27:00
10,4,21,61,750.750,m,316.070596,237290.00,18.00,42712.20,0.00,280002.20,2025-05-03,750.750,0.000,Closed,PO line converted from PR item 21 for Heat Shrink Sleeve 8 mm,2025-04-26 14:30:00,2025-04-26 15:30:00
11,4,22,6,183.000,No,1945.000000,355935.00,18.00,64068.30,0.00,420003.30,2025-05-04,183.000,0.000,Closed,PO line converted from PR item 22 for Rotor Core 7.5 kW,2025-04-26 14:33:00,2025-04-26 15:33:00
12,4,23,29,578.500,kg,820.363008,474580.00,18.00,85424.40,0.00,560004.40,2025-04-29,578.500,0.000,Closed,PO line converted from PR item 23 for Copper Wire 1.00 mm,2025-04-26 14:36:00,2025-04-26 15:36:00
13,4,24,36,848.000,No,699.557783,593225.00,18.00,106780.50,0.00,700005.50,2025-04-30,848.000,0.000,Closed,PO line converted from PR item 24 for Terminal Block Heavy Duty,2025-04-26 14:39:00,2025-04-26 15:39:00
14,4,25,43,115.150,No,6182.110291,711870.00,18.00,128136.60,0.00,840006.60,2025-05-01,115.150,0.000,Closed,PO line converted from PR item 25 for Temperature Sensor NTC,2025-04-26 14:42:00,2025-04-26 15:42:00
15,5,26,56,1043.000,No,61.073826,63700.00,18.00,11466.00,0.00,75166.00,2025-05-10,0.000,1043.000,Ordered,PO line converted from PR item 26 for Slot Liner 0.30 mm,2025-05-02 14:45:00,2025-05-02 15:45:00
16,6,31,67,1320.800,No,12.235009,16160.00,18.00,2908.80,0.00,19068.80,2025-05-02,1320.800,0.000,Fully Received,PO line converted from PR item 31 for Hex Nut M6,2025-04-29 14:48:00,2025-04-29 15:48:00
17,6,32,74,1761.600,No,13.760218,24240.00,18.00,4363.20,0.00,28603.20,2025-05-03,1233.120,528.480,Partially Received,PO line converted from PR item 32 for Spring Washer M8,2025-04-29 14:51:00,2025-04-29 15:51:00
18,7,36,78,1822.400,No,42.166615,76844.44,18.00,13832.00,0.00,90676.44,2025-05-12,1822.400,0.000,Fully Received,PO line converted from PR item 36 for Internal Circlip,2025-05-08 14:54:00,2025-05-08 15:54:00
19,7,37,85,892.500,g,129.150331,115266.67,18.00,20748.00,0.00,136014.67,2025-05-13,892.500,0.000,Fully Received,PO line converted from PR item 37 for Solder Wire,2025-05-08 14:57:00,2025-05-08 15:57:00
20,7,38,92,1160.000,m,132.490422,153688.89,18.00,27664.00,0.00,181352.89,2025-05-14,1160.000,0.000,Fully Received,PO line converted from PR item 38 for Packing Tape,2025-05-08 14:00:00,2025-05-08 15:00:00
21,8,41,89,778.400,No,169.633684,132042.86,18.00,23767.71,1980.64,153829.93,2025-05-14,0.000,778.400,Cancelled,PO line converted from PR item 41 for Foam Insert,2025-05-09 14:03:00,2025-05-09 15:03:00
22,8,42,96,145.000,No,1365.960621,198064.29,18.00,35651.57,2970.96,230744.90,2025-05-15,0.000,145.000,Cancelled,PO line converted from PR item 42 for Rating Sticker,2025-05-09 14:06:00,2025-05-09 15:06:00
23,8,43,1,296.400,No,890.977429,264085.71,18.00,47535.43,3961.29,307659.85,2025-05-16,0.000,296.400,Cancelled,PO line converted from PR item 43 for Stator Core 1.5 kW,2025-05-09 14:09:00,2025-05-09 15:09:00
24,8,44,8,596.800,No,553.128586,330107.14,18.00,59419.29,4951.61,384574.82,2025-05-17,0.000,596.800,Cancelled,PO line converted from PR item 44 for NdFeB Magnet N45,2025-05-09 14:12:00,2025-05-09 15:12:00
25,9,46,100,35.500,No,9734.366197,345570.00,18.00,62202.60,0.00,407772.60,2025-05-18,0.000,35.500,Ordered,PO line converted from PR item 46 for BLDC Motor 1.5 kW,2025-05-12 14:15:00,2025-05-12 15:15:00
26,9,47,5,345.800,No,1499.002313,518355.00,18.00,93303.90,0.00,611658.90,2025-05-19,0.000,345.800,Ordered,PO line converted from PR item 47 for Rotor Core 3 kW,2025-05-12 14:18:00,2025-05-12 15:18:00
27,9,48,12,569.600,No,1213.377809,691140.00,18.00,124405.20,0.00,815545.20,2025-05-20,0.000,569.600,Ordered,PO line converted from PR item 48 for Motor Shaft EN24,2025-05-12 14:21:00,2025-05-12 15:21:00
28,9,49,19,308.700,No,2798.590865,863925.00,18.00,155506.50,0.00,1019431.50,2025-05-15,0.000,308.700,Ordered,PO line converted from PR item 49 for Front End Cover,2025-05-12 14:24:00,2025-05-12 15:24:00
29,9,50,26,35.000,No,29620.285714,1036710.00,18.00,186607.80,0.00,1223317.80,2025-05-16,0.000,35.000,Ordered,PO line converted from PR item 50 for O-Ring Standard,2025-05-12 14:27:00,2025-05-12 15:27:00
30,10,51,93,1543.100,No,34.346445,53000.00,18.00,9540.00,0.00,62540.00,2025-05-31,1543.100,0.000,Fully Received,PO line converted from PR item 51 for Silica Gel Pouch,2025-05-24 14:30:00,2025-05-24 15:30:00
31,11,55,20,691.200,No,262.500000,181440.00,18.00,32659.20,0.00,214099.20,2025-06-02,691.200,0.000,Fully Received,PO line converted from PR item 55 for Rear End Cover,2025-05-25 14:33:00,2025-05-25 15:33:00
